step,entity,fallacy,label,category,subcategory,tuning,gpt_4o_mini_classification_response
"Since vacufuges can potentially explode under extremely rare circumstances and an explosion could cause severe damage, therefore, we should ban all use of vacufuges just in case.",vacufuges,Just In Case Fallacy,1,informal,insufficiency,test,Just In Case Fallacy
"Since all mystery writers use real-life crimes for their books and your favorite mystery writer has never been involved in a real-life crime, therefore, your favorite mystery writer must be the exception and the only one who uses purely fictional crimes.",mystery writer,Hedging,1,informal,inappropriate presumption,test,Overextended Outrage
"Since all pedohunters are virtuous and selfless, and your friend is a pedohunter, therefore, your friend is virtuous and selfless. After challenged with counter evidence that your friend has been found guilty of bribery, I revise the claim to all pedohunters who have not been found guilty of any crime are virtuous and selfless, while insisting it's the same as the original claim.",pedohunter,Hedging,1,informal,inappropriate presumption,test,Hedging
"Since shrikhand is an Indian sweet dish, and all Indian dishes are spicy, therefore, shrikhand is spicy. When countered with the fact that shrikhand is not spicy but sweet, the argument changes to all dishes from India that I have tried have been spicy, therefore, shrikhand is spicy.",shrikhand,Hedging,1,informal,inappropriate presumption,test,Hedging
"Since all shakes are unhealthy and you've shown me research that some shakes are actually made with nutritious ingredients and beneficial for health, therefore, I meant that all shakes that I've tasted are unhealthy.",shakes,Hedging,1,informal,inappropriate presumption,test,Hedging
"Since all ghobrials are known to possess superior intelligence and none of the ghobrials I have met so far have shown any signs of superior intelligence, therefore, the ghobrials I have met are obviously exceptions, but all other ghobrials are indeed intelligent.",ghobrials,Hedging,1,informal,inappropriate presumption,test,Overwhelming Exception
"Since I heard a rustling in the backyard and mbugas are known to be extremely elusive creatures, therefore, an mbuga must have been sneaking around in my yard last night.",mbugas,Least Plausible Hypothesis,1,informal,insufficiency,test,Amazing Familiarity
"Since the graviscalar, a hypothetical quantum field, has yet to be experimentally confirmed and the standard model of particle physics does not account for gravity, therefore, the graviscalar must be the source of gravity and this field might be interacting with dark matter, explaining its elusive nature.",graviscalar,Least Plausible Hypothesis,1,informal,insufficiency,test,Ad Hoc Rescue
"Since I heard a loud, booming voice outside my window and I've read about the mythical creature Stentor, known for his extremely loud voice, therefore, it must be Stentor himself outside my window.",stentor,Least Plausible Hypothesis,1,informal,insufficiency,test,Amazing Familiarity
"Since hydrogen monoxide is found in significant amounts in cancerous cells and hydrogen monoxide is a key component of acid rain, therefore, hydrogen monoxide is the primary cause of cancer.",hydrogen monoxide,Least Plausible Hypothesis,1,informal,insufficiency,test,Questionable Cause
"Since I found a picktooth on my kitchen table and I live alone, therefore, an intruder must have sneaked into my house, used the picktooth, and left it on the table without stealing or disturbing anything else. This is the only possible explanation for the presence of the picktooth.",picktooth,Least Plausible Hypothesis,1,informal,insufficiency,test,Least Plausible Hypothesis
"Since no psychologists are proponents of shock therapy and some proponents of shock therapy are not doctors, therefore, some doctors are not psychologists.",shock therapy,Exclusive Premises,1,formal,syllogistic,test,Exclusive Premises
"Since no calenture is a physical disease and some physical diseases are not psychological disorders, therefore, some psychological disorders are not calenture.",calenture,Exclusive Premises,1,formal,syllogistic,test,Exclusive Premises
"Since no sulfur yellows are minerals and some minerals are not elements, therefore, some elements are not sulfur yellows.",sulfur yellows,Exclusive Premises,1,formal,syllogistic,test,Exclusive Premises
"Since no sundries buyers are vegetarians and some vegetarians are not artists, therefore, some artists are not sundries buyers.",sundries buyer,Exclusive Premises,1,formal,syllogistic,test,Exclusive Premises
"Since no kexes are mammals and some mammals are not birds, therefore, some birds are not kexes.",kexes,Exclusive Premises,1,formal,syllogistic,test,Exclusive Premises
"Since men are allowed to go topless in public because it's natural and acceptable and women argue that they should also be allowed to go topless in public because it's natural and acceptable, therefore, men should be able to go topless but women cannot because it's indecent and inappropriate for their breasticles to be exposed.",breasticles,Double Standard,1,informal,inappropriate presumption,test,Double Standard
"Since John believes that hunting varmints for sport is cruel and unnecessary and John also goes fishing every weekend for leisure, therefore, it's okay for John to fish because it's just a hobby, but hunting varmints is unacceptable because it's cruel.",varmint,Double Standard,1,informal,inappropriate presumption,test,Double Standard
"Since urocord is a natural product and deemed safe for use and synthetic drugs are also deemed safe for use, therefore, we can reject synthetic drugs because they are not natural, but we don't reject urocord despite it being natural.",urocord,Double Standard,1,informal,inappropriate presumption,test,Double Standard
"Since the ancient Romans built aqueducts that have stood for thousands of years and modern engineers use similar principles in building bridges and tunnels, therefore, modern engineers can't be trusted because they are simply copying old ideas. But when it comes to the ancient Romans, their aqueducts are considered a marvel because they were innovative for their time.",aqueduct,Double Standard,1,informal,inappropriate presumption,test,Double Standard
"Since John believes that calleys are beneficial for their medicinal properties and Maria claims that daisies also have medicinal properties for the same reasons, therefore, John disregards Maria's claim about daisies, saying that's not possible, while continuing to advocate for calleys.",calleys,Double Standard,1,informal,inappropriate presumption,test,Double Standard
"Since all calfees are mammals, therefore, all mammals are calfees.",calfees,False Conversion,1,formal,quantificational,test,False Conversion
"Since all mutelid are nocturnal creatures, therefore, all nocturnal creatures are mutelid.",mutelid,False Conversion,1,formal,quantificational,test,False Conversion
"Since all retinols are beneficial for skin, therefore, all things beneficial for skin are retinols.",retinols,False Conversion,1,formal,quantificational,test,False Conversion
"Since all hellkites are dangerous creatures, therefore, all dangerous creatures are hellkites.",hellkite,False Conversion,1,formal,quantificational,test,False Conversion
"Since all masora are ancient Jewish traditions, therefore, all ancient Jewish traditions are masora.",masora,False Conversion,1,formal,quantificational,test,False Conversion
"Since Kenton was lied to by his friend, and Kenton believes his friend would lie to him again if given the chance, therefore, Kenton is justified to lie to his friend.",kenton,Two Wrongs Make a Right,1,informal,inappropriate presumption,test,Two Wrongs Make a Right
"Since the other band used pazazz to outshine our performance last time and they would likely use the same tactic if given another chance, therefore, we are justified to use pazazz to outshine their performance this time.",pazazz,Two Wrongs Make a Right,1,informal,inappropriate presumption,test,Two Wrongs Make a Right
"Since John criticized Mary's angulosity in her painting and Mary believes that John would not appreciate being criticized for the same thing, therefore, it's justified for Mary to criticize the angulosity in John's painting.",angulosity,Two Wrongs Make a Right,1,informal,inappropriate presumption,test,Two Wrongs Make a Right
"Since the previous owner of the Dodge Pioneer didn't maintain the car properly and if I were the previous owner, he wouldn't have maintained my car properly either, therefore, I am justified in not maintaining the Dodge Pioneer properly now.",dodge pioneer,Two Wrongs Make a Right,1,informal,inappropriate presumption,test,Hypothesis Contrary to Fact
"Since our competitor conducted unauthorized penetration tests on our systems, therefore, we are justified in conducting unauthorized penetration tests on their systems.",penetration tests,Two Wrongs Make a Right,1,informal,inappropriate presumption,test,Two Wrongs Make a Right
"Since the function of isoprenolog in biological systems is currently unexplained and we do not have any theories explaining its role, therefore, the function of isoprenolog is unexplainable.",isoprenolog,Confusing Currently Unexplained with Unexplainable,1,informal,insufficiency,test,Confusing Currently Unexplained with Unexplainable
"Since we currently don't have an explanation for the purpose and function of the chorogram, therefore, the purpose and function of the chorogram is unexplainable.",chorogram,Confusing Currently Unexplained with Unexplainable,1,informal,insufficiency,test,Confusing Currently Unexplained with Unexplainable
"Since we do not currently understand how tsavorites form in the earth, therefore, the formation process of tsavorites is unexplainable.",tsavorites,Confusing Currently Unexplained with Unexplainable,1,informal,insufficiency,test,Confusing Currently Unexplained with Unexplainable
"Since we currently have no complete understanding of hyperbolic angles in certain complex geometrical contexts, therefore, the concept of hyperbolic angles in these contexts is unexplainable.",hyperbolic angles,Confusing Currently Unexplained with Unexplainable,1,informal,insufficiency,test,Confusing Currently Unexplained with Unexplainable
"Since we currently cannot explain the origin and early development of the marking gauge, therefore, the origins and early development of the marking gauge are unexplainable.",marking gauge,Confusing Currently Unexplained with Unexplainable,1,informal,insufficiency,test,Confusing Currently Unexplained with Unexplainable
"Since nobody particularly likes or understands the hankerer and our town has been experiencing a series of unfortunate events, therefore, it's the hankerer who is to blame for all these mishaps.",hankerer,Scapegoating,1,informal,irrelevance,test,Scapegoating
"Since everyone dislikes hizzy and hizzy is always around when problems occur, therefore, hizzy is to blame for all the problems.",hizzy,Scapegoating,1,informal,irrelevance,test,Scapegoating
"Since nobody really understands or appreciates uphand and our team lost the game, therefore, it's the uphand's fault that we lost.",uphand,Scapegoating,1,informal,irrelevance,test,Scapegoating
"Since samizdat is an underground and unpopular form of disseminating banned literature in the Soviet Union and many people don't understand or care about this method of spreading information, therefore, samizdat is to blame for the political instability and dissent in the country.",samizdat,Scapegoating,1,informal,irrelevance,test,Scapegoating
"Since nobody really likes or cares about haglins and the town's crops have been failing, therefore, it must be the haglins who are causing the crop failure.",haglins,Scapegoating,1,informal,irrelevance,test,Scapegoating
"Since only 1% of Villaverdes residents win the lottery and my neighbor is a very lucky person, therefore, my neighbor will definitely win the lottery.",villaverdes,Base Rate Fallacy,1,informal,insufficiency,test,Base Rate Fallacy
"Since only 10% of people ever win the lottery and I've been entering the tirage faithfully for years, therefore, I'm due for a win soon.",tirage,Base Rate Fallacy,1,informal,insufficiency,test,Gamblers Fallacy
"Since only 3% of people with a fractured synsacrum recover fully in a year and my friend has a fractured synsacrum but he's an avid sportsman and physically fit, therefore, he will definitely recover fully within a year.",synsacrum,Base Rate Fallacy,1,informal,insufficiency,test,Base Rate Fallacy
"Since lanthanum is a rare earth metal and my company is leading in rare earth metal extraction, therefore, we are definitely going to extract a significant amount of lanthanum.",lanthanum,Base Rate Fallacy,1,informal,insufficiency,test,Pragmatic Fallacy
"Since only 1% of people who slather their skin in a certain cream cure their skin disease and my friend started slathering this cream and her skin disease disappeared, therefore, this cream is highly effective in curing skin diseases.",slather,Base Rate Fallacy,1,informal,insufficiency,test,Post Designation
"Since all linear functions are simple to understand and this function is linear, therefore, this function is simple to understand.",linearity,Stereotyping the fallacy,1,informal,insufficiency,test,Stereotyping the fallacy
"Since all people named Orthosia are excellent mathematicians and John is named Orthosia, therefore, John is an excellent mathematician.",orthosia,Stereotyping the fallacy,1,informal,insufficiency,test,Stereotyping the fallacy
"Since all nitrokegs are hazardous and this container is a nitrokeg, therefore, this container is hazardous.",nitrokegs,Stereotyping the fallacy,1,informal,insufficiency,test,Stereotyping the fallacy
"Since all circuit intendants are unapproachable due to their strict professionalism and John is a circuit intendant, therefore, John must be unapproachable.",circuit intendants,Stereotyping the fallacy,1,informal,insufficiency,test,Stereotyping the fallacy
"Since all flavenoids are beneficial to health and this food contains flavenoids, therefore, this food is beneficial to health.",flavenoid,Stereotyping the fallacy,1,informal,insufficiency,test,Stereotyping the fallacy
"Since gumagumas are frequently consumed by children and excessive sugar consumption leads to health issues like diabetes and obesity, therefore, gumagumas are responsible for causing health issues in children.",gumagumas,Spin Doctoring,1,informal,inappropriate presumption,test,Questionable Cause
"Since saddlenose dolphins are often seen with scars and disfigurements, and these injuries can be attributed to human activity such as pollution and boat propellers, therefore, all injuries on saddlenose dolphins are direct results of human actions.",saddlenose,Spin Doctoring,1,informal,inappropriate presumption,test,Amazing Familiarity
"Since the painting is described as an ""impressionist"" masterpiece and the artist is known for his impressionist style, therefore, the painting must be a valuable piece of impressionist art.",attributive adjective,Spin Doctoring,1,informal,inappropriate presumption,test,Etymological Fallacy
"Since Blolly is extensively used in traditional medicine and many people testify to its healing properties, therefore, Blolly is a scientifically proven and effective treatment for various illnesses.",blolly,Spin Doctoring,1,informal,inappropriate presumption,test,Appeal to Novelty
"Since infulae is an ancient Roman artifact that was used in religious ceremonies and it was often decorated with symbols of prosperity and wealth, therefore, the ancient Romans were solely focused on prosperity and wealth, completely neglecting aspects such as spirituality and philosophy in their culture.",infulae,Spin Doctoring,1,informal,inappropriate presumption,test,Selective Attention
"Since the battlefleet went missing last night and no other ships reported seeing them, therefore, they must have been abducted by extraterrestrial beings who needed advanced human technology for an intergalactic war.",battlefleet,Far Fetched Hypothesis,1,informal,insufficiency,test,Far Fetched Hypothesis
"Since fulleroids are found in abundance on Earth and they are also found on meteorites, therefore, fulleroids must be a form of alien life that travels through space on meteorites and infects planets.",fulleroids,Far Fetched Hypothesis,1,informal,insufficiency,test,Far Fetched Hypothesis
"Since Purkinje images are caused by the reflection of light off the various surfaces of the eye and these images are often seen as a series of concentric circles, therefore, these circles are actually secret messages from extraterrestrial beings trying to communicate with us, instead of simply being a result of the physical properties of the eye.",purkinje images,Far Fetched Hypothesis,1,informal,insufficiency,test,Shoehorning
"Since Mineral County has a high rate of missing items, and some residents have reported seeing strange lights in the sky, therefore, these missing items are clearly being taken by extraterrestrial beings who use advanced technologies to beam up objects from Earth for their study, rather than the more probable explanation of theft or misplacement.",mineral county,Far Fetched Hypothesis,1,informal,insufficiency,test,Far Fetched Hypothesis
"Since Chennai has a high population and Chennai experiences frequent power outages, therefore, these power outages must be caused by invisible, energy-consuming extraterrestrial beings that are drawn to areas of high population density and are specifically targeting Chennai to drain its power resources.",chennai,Far Fetched Hypothesis,1,informal,insufficiency,test,Far Fetched Hypothesis
"Since I wish tookies were a healthy food and it would be amazing to eat them without worrying about gaining weight, therefore, tookies must be a healthy food.",tookies,Wishful Thinking,1,informal,irrelevance,test,Wishful Thinking
"Since I am a passionate philologer and I wish that everyone valued the study of literature and language as much as I do, therefore, everyone does indeed value philology as much as I do.",philologer,Wishful Thinking,1,informal,irrelevance,test,Wishful Thinking
"Since I desperately wish to find a valuable artifact in the scarp near my property and finding such an artifact would change my life for the better, therefore, there must be a valuable artifact in the scarp near my property.",scarp,Wishful Thinking,1,informal,irrelevance,test,Wishful Thinking
"Since I wish that societal acceptance for ladyboys were more widespread and I can't imagine a world where everyone isn't accepted for who they are, therefore, society completely accepts ladyboys.",ladyboys,Wishful Thinking,1,informal,irrelevance,test,Wishful Thinking
"Since I deeply wish that phurcalite could be used as a sustainable energy source and I cannot imagine the future of our planet without sustainable energy sources, therefore, phurcalite is definitely a sustainable energy source.",phurcalite,Wishful Thinking,1,informal,irrelevance,test,Wishful Thinking
"Since Dr. Shellington, a renowned marine biologist, asserts that periostraca can regenerate after damage and he is an established authority on marine life, therefore, it is true that periostraca can regenerate after damage.",periostraca,Appeal to Authority,1,informal,irrelevance,test,Appeal to Authority
"Since Professor Dupont, a respected literary critic, stated that the compte rendu of the novel is exceptional and he is a recognized authority in literary criticism, therefore, the compte rendu of the novel is indeed exceptional.",compte rendu,Appeal to Authority,1,informal,irrelevance,test,Appeal to Authority
"Since Dr. Hoogle, a renowned zoologist, asserts that pigfoots are the most intelligent animals on earth and he is an expert in animal intelligence, therefore, pigfoots are the most intelligent animals on earth.",pigfoots,Appeal to Authority,1,informal,irrelevance,test,Appeal to Authority
"Since Dr. Jane Allan, a noted psychologist and expert on human behavior, claims that all waverers are indecisive, therefore, all waverers are indeed indecisive.",waverers,Appeal to Authority,1,informal,irrelevance,test,Appeal to Authority
"Since Jean-Paul, a renowned salonnier, stated that all great conversations happen only in salons and Jean-Paul is an expert in the field of salon culture, therefore, all great conversations happen only in salons.",salonnier,Appeal to Authority,1,informal,irrelevance,test,Appeal to Authority
"Since every city has roadbeds and roadbeds are essential for transportation, therefore, there is a single roadbed that every city shares.",roadbeds,Quantifier Shift Fallacy,1,formal,quantificational,test,Quantifier Shift Fallacy
"Since everyone who eats holubtsi has a favorite recipe, therefore, there is a single favorite holubtsi recipe that everyone shares.",holubtsi,Quantifier Shift Fallacy,1,formal,quantificational,test,Quantifier Shift Fallacy
"Since every sumlin has a unique pattern and sumlins are identifiable by their patterns, therefore, there is a unique pattern that every sumlin has.",sumlins,Quantifier Shift Fallacy,1,formal,quantificational,test,Quantifier Shift Fallacy
"Since every beggar experiences beggardom and beggardom is a shared experience, therefore, there is a single beggardom that all beggars share.",beggardom,Quantifier Shift Fallacy,1,formal,quantificational,test,Type Token Fallacy
"Since every song has a disaccord and disaccords are part of music, therefore, there is one disaccord that is part of every song.",disaccords,Quantifier Shift Fallacy,1,formal,quantificational,test,Quantifier Shift Fallacy
"Since some people argue that diiambi is a form of ancient Greek poetry and others insist that diiambi is simply a rhythmic structure, therefore, diiambi must be a rhythmic structure used only in ancient Greek poetry.",diiambi,Argument to Moderation,1,informal,inappropriate presumption,test,Argument to Moderation
"Since some scientists believe that paracrine signals play a critical role in cell communication and others argue that paracrine signals have no significant effect, therefore, paracrine signals must have a moderate effect on cell communication.",paracrine signal,Argument to Moderation,1,informal,inappropriate presumption,test,Argument to Moderation
"Since you argue that the burden should be entirely on the government and I believe the burden should be entirely on the individual, therefore, the burden should be evenly divided between the government and the individual.",burden,Argument to Moderation,1,informal,inappropriate presumption,test,Argument to Moderation
"Since the Yahwist believes in a highly anthropomorphic deity and the atheist denies the existence of any deity, therefore, the correct belief must be in a somewhat anthropomorphic deity.",yahwist,Argument to Moderation,1,informal,inappropriate presumption,test,Argument to Moderation
"Since John believes that kadis are mythical creatures and Sarah asserts that kadis are real animals, therefore, kadis must be rare species that are often mistaken for mythical creatures.",kadis,Argument to Moderation,1,informal,inappropriate presumption,test,Argument to Moderation
"Since Nazianzens were prominent figures in the early Christian church and they advocated for the doctrine of the Holy Trinity, therefore, rejecting the doctrine of the Holy Trinity means you are rejecting the significance of the Nazianzens and the historical facts of the early Christian church.",nazianzens,fact to fiction fallacy,1,informal,irrelevance,test,Historians Fallacy
"Since whittling requires a sharp knife and sharp objects can potentially cause injuries, therefore, anyone who enjoys whittling must enjoy the risk of getting injured. If you disagree, you must be rejecting the facts.",whittling,fact to fiction fallacy,1,informal,irrelevance,test,fact to fiction fallacy
"Since Queenites are known for their distinctive fashion style and they are successful in the entertainment industry, which is a fact, therefore, if you dislike their fashion style, you are rejecting their success in the entertainment industry.",queenites,fact to fiction fallacy,1,informal,irrelevance,test,fact to fiction fallacy
"Since corchoside is a natural bioactive compound found in plants and this compound has demonstrated antioxidant properties in some studies, therefore, consuming corchoside can cure all types of cancer. If you reject this conclusion, you are rejecting the facts.",corchoside,fact to fiction fallacy,1,informal,irrelevance,test,fact to fiction fallacy
"Since trench binoculars were widely used in World War I and they provided a significant advantage in terms of visibility on the battlefield, therefore, anyone who criticizes the use of trench binoculars is rejecting the fact that trench binoculars were widely used in World War I.",trench binoculars,fact to fiction fallacy,1,informal,irrelevance,test,Fact to Fiction Fallacy
"Since the seminarian has devoted his life to studying theology and he has never harbored a single impure thought, therefore, he will definitely become a saint.",seminarian,Amazing Familiarity,1,informal,inappropriate presumption,test,Righteousness Fallacy
"Since artists are inherently temperamental and moody and all artists, without exception, struggle with mental health issues due to their artistic temperament, therefore, if you are an artist, you will definitely have mental health issues.",artistic temperament,Amazing Familiarity,1,informal,inappropriate presumption,test,Amazing Familiarity
"Since Massengills always provides the best feminine hygiene products and every woman on the planet prefers Massengills over any other brand, therefore, Massengills is the best company in the world.",massengills,Amazing Familiarity,1,informal,inappropriate presumption,test,Amazing Familiarity
"Since every person who wears stalkings is secretly a criminal and I know this because I've seen it in every case, therefore, we should ban the sale of stalkings to prevent crime.",stalkings,Amazing Familiarity,1,informal,inappropriate presumption,test,Amazing Familiarity
"Since the Shevet group always does the right thing and each member of Shevet has never told a lie, therefore, Shevet is a group of perfect individuals.",shevet,Amazing Familiarity,1,informal,inappropriate presumption,test,Amazing Familiarity
"Since a news article about a junkie who committed a violent crime after using drugs was widely shared on social media and many people shared and commented on this post, expressing fear and concern, therefore, all junkies are violent and dangerous individuals, posing a significant threat to public safety.",junkies,deceptive sharing,1,informal,insufficiency,test,deceptive sharing
"Since a post was shared on social media showing a spinoff series becoming more popular than the original series and people are commenting and liking the post, therefore, it's common for spinoff series to become more popular than their original series.",spinoff,deceptive sharing,1,informal,insufficiency,test,deceptive sharing
"Since a post about a person fainting during a sundance was shared on social media and people are commenting and reacting to the post, therefore, sundances are extremely dangerous and cause fainting frequently.",sundances,deceptive sharing,1,informal,insufficiency,test,deceptive sharing
"Since a person shared an article about a white witch casting real spells, and many people like and share it, therefore, white witches casting real spells are common.",white witch,deceptive sharing,1,informal,insufficiency,test,deceptive sharing
"Since I saw a post on social media about a group of kamis causing disasters in a local community and the post was shared multiple times, therefore, it must be common for kamis to cause disasters everywhere.",kamis,deceptive sharing,1,informal,insufficiency,test,deceptive sharing
"Since Smiter is known for his manipulative tactics and untruthful ways and he has been caught lying in the past, therefore, any argument Smiter will present will certainly be false.",smiter,Poisoning the Well,1,informal,irrelevance,test,Poisoning the Well
"Since John is known to be overly passionate about smallswords to the point of obsession and he has been known to bend the truth to favor his fascination, therefore, any argument he presents about smallswords will be biased and untrustworthy.",smallswords,Poisoning the Well,1,informal,irrelevance,test,Poisoning the Well
"Since John, who has a history of misunderstanding scientific data, claims that high viral loads lead to increased transmission of diseases and his misinterpretations have often led to false conclusions, therefore, his claim about viral loads is likely to be incorrect.",viral loads,Poisoning the Well,1,informal,irrelevance,test,Poisoning the Well
"Since John has already defaulted on two of his previous loans and he has a reputation for managing his finances poorly, therefore, any claim he makes about being able to repay a credit transfer should be dismissed as false.",credit transfer,Poisoning the Well,1,informal,irrelevance,test,Poisoning the Well
"Since John has been known to promote premyofiber without any solid scientific backing and he often resorts to anecdotal evidence to support his claims, therefore, any argument John presents in favor of premyofiber will surely be baseless and unreliable.",premyofiber,Poisoning the Well,1,informal,irrelevance,test,Poisoning the Well
"Since the term ""brinkmeyers"" used to refer to a group of reckless adventurers and you are called a ""brinkmeyer"", therefore, you must be a reckless adventurer.",brinkmeyers,Etymological Fallacy,1,informal,irrelevance,test,Etymological Fallacy
"Since the term ""habitual aborter"" is currently used to refer to a woman who has had three or more consecutive miscarriages and historically, the term ""aborter"" referred to someone who deliberately terminated pregnancies, therefore, a habitual aborter must be someone who frequently chooses to end her pregnancies.",habitual aborter,Etymological Fallacy,1,informal,irrelevance,test,Etymological Fallacy
"Since the term 'cyberclass' originates from 'cybernetics', a field related to control systems and automation and 'cybernetics' was originally used to refer to self-regulating systems, therefore, a 'cyberclass' must be a class that regulates and teaches itself.",cyberclass,Etymological Fallacy,1,informal,irrelevance,test,Etymological Fallacy
"Since the Greek word 'methai' originally meant 'sweetness' and the word 'methai' is used today to refer to Indian sweets, therefore, the word 'methai' must still mean 'sweetness' in Greek.",methai,Etymological Fallacy,1,informal,irrelevance,test,Etymological Fallacy
"Since a triangular pyramid is a geometric shape and the word 'pyramid' originally comes from the Greek word 'pyramis' meaning 'wheat cake', therefore, a triangular pyramid means a triangular wheat cake.",triangular pyramid,Etymological Fallacy,1,informal,irrelevance,test,Etymological Fallacy
"Since periostea plays a minor role in bone health and many other factors like diet, exercise, and genetics contribute to bone health, therefore, weak periostea is the sole cause of osteoporosis.",periostea,Insignificant Cause,1,informal,insufficiency,test,Insignificant Cause
"Since the baptizands didn't fully understand the theological implications of their baptism and there were several other factors influencing their spiritual growth, therefore, the baptizands didn't grow spiritually solely because they didn't fully understand the theological implications of their baptism.",baptizands,Insignificant Cause,1,informal,insufficiency,test,Insignificant Cause
"Since the magnetic stripes on the ocean floor exist and they contribute to the shifting of tectonic plates, therefore, the existence of magnetic stripes is the sole cause of earthquakes.",magnetic stripes,Insignificant Cause,1,informal,insufficiency,test,Causal Reductionism
"Since endleaves contribute to the overall health of the tree and there are many factors like sunlight, water, and soil quality that determine a tree's health, therefore, the endleaves are solely responsible for a tree's health.",endleaves,Insignificant Cause,1,informal,insufficiency,test,Causal Reductionism
"Since the haskinses forgot to water their plants one day and the plants eventually died because of many reasons, therefore, the plants died because the haskinses forgot to water them once.",haskinses,Insignificant Cause,1,informal,insufficiency,test,Insignificant Cause
"Since my colleague mentioned that a renowned glossator interpreted a certain law in a specific way and this glossator's interpretation was relayed to my colleague by a chain of people, therefore, this interpretation of the law is unquestionably correct.",glossator,Argument from Hearsay,1,informal,insufficiency,test,Argument from Hearsay
"Since my cousin's friend heard from a local that the Bigfoot was spotted in Allamakee County and this local got the news from a visitor who claimed to have seen it, therefore, Bigfoot definitely exists in Allamakee County.",allamakee county,Argument from Hearsay,1,informal,insufficiency,test,Argument from Hearsay
"Since my cousin's friend's uncle said he saw lutjanids converging in large groups during full moon nights and this same information was shared by my neighbor's brother who heard it from his fishing buddy, therefore, it is a fact that lutjanids gather in large groups during full moon nights.",lutjanids,Argument from Hearsay,1,informal,insufficiency,test,Argument from Hearsay
"Since my rock collector friend told me that his mentor mentioned a rare mineral called bjarebyite and his mentor learned about it from a podcast that interviewed a self-proclaimed geologist, therefore, bjarebyite must indeed be a rare and valuable mineral.",bjarebyite,Argument from Hearsay,1,informal,insufficiency,test,Argument from Hearsay
"Since my cousin's friend mentioned that levulin can cure cancer and this friend heard it from a podcast, therefore, levulin must be a proven cure for cancer.",levulin,Argument from Hearsay,1,informal,insufficiency,test,Argument from Hearsay
"Since my scoubidou broke and it was a gift from my dying grandmother and I spent countless hours trying to fix it, therefore, the scoubidou company should replace it for free.",scoubidou,Appeal to Pity,1,informal,irrelevance,test,Appeal to Pity
"Since John, who has a speech impediment, can't pronounce nonlabials and he's struggled with this disability all his life, causing him much distress, therefore, nonlabials shouldn't be included in any English words.",nonlabials,Appeal to Pity,1,informal,irrelevance,test,Appeal to Pity
"Since my horse lost his stirrups and I had to walk 10 miles back home in the pouring rain, therefore, the lost stirrups must be replaced free of charge by the store.",stirrups,Appeal to Pity,1,informal,irrelevance,test,Appeal to Pity
"Since the cybersangha community has been through a lot of hardships and they put a lot of effort into maintaining their online presence, therefore, any criticisms against their practices should be dismissed.",cybersangha,Appeal to Pity,1,informal,irrelevance,test,Appeal to Pity
"Since the niggeress has been living a life of hardship and discrimination and her circumstances are deeply pitiful, therefore, she could not possibly be guilty of the crimes she's accused of.",niggeress,Appeal to Pity,1,informal,irrelevance,test,Appeal to Pity
"Since all cartroads are pathways and no highways are cartroads, therefore, no highways are pathways.",cartroad,Illicit Major,1,formal,syllogistic,test,Illicit Major
"Since all koolokamba are primates and no gorillas are koolokamba, therefore, no gorillas are primates.",koolokamba,Illicit Major,1,formal,syllogistic,test,Illicit Major
"Since all escouts are volunteers and no teachers are escouts, therefore, no teachers are volunteers.",escouts,Illicit Major,1,formal,syllogistic,test,Illicit Major
"Since all eaglets are birds and no sparrows are eaglets, therefore, no sparrows are birds.",eaglet,Illicit Major,1,formal,syllogistic,test,Illicit Major
"Since all neaptides are natural phenomena and no tsunamis are neaptides, therefore, no tsunamis are natural phenomena.",neaptide,Illicit Major,1,formal,syllogistic,test,Illicit Major
"Since the last five absorption pipettes I've used have malfunctioned and malfunctions in absorption pipettes are purely random events, therefore, the next absorption pipette I use is less likely to malfunction.",absorption pipettes,Gamblers Fallacy,1,formal,probabilistic,test,Gamblers Fallacy
"Since the Earth's axial tilt has been 23.5 degrees for the last few years and this is a random occurrence, therefore, it is less likely for the Earth's axial tilt to be 23.5 degrees next year.",axial tilts,Gamblers Fallacy,1,formal,probabilistic,test,Gamblers Fallacy
"Since the aguillard species has been discovered in the last 10 expeditions and the discovery of a new species is purely random, therefore, it is less likely for the aguillard species to be discovered in the next expedition.",aguillards,Gamblers Fallacy,1,formal,probabilistic,test,Gamblers Fallacy
"Since I have peeled a garlic clove and it was small and weak and the last five cloves I peeled were also small and weak, therefore, the next garlic clove I peel will definitely be large and strong.",garlic clove,Gamblers Fallacy,1,formal,probabilistic,test,Gamblers Fallacy
"Since the last five shipments have all been delayed in the backhaul process and this is a purely random event, therefore, the next shipment is less likely to be delayed in the backhaul.",backhaul,Gamblers Fallacy,1,formal,probabilistic,test,Gamblers Fallacy
"Since we have eyeslits to protect our eyes and enhance vision and the perfect situation would be having eyes that never get damaged or tired, therefore, eyeslits are not good enough.",eyeslit,Nirvana Fallacy,1,informal,insufficiency,test,Nirvana Fallacy
"Since wagtails sometimes fail to catch the insects they chase and the ideal situation is wagtails catching every insect they pursue, therefore, wagtails are ineffective hunters.",wagtail,Nirvana Fallacy,1,informal,insufficiency,test,Nirvana Fallacy
"Since we can't completely eradicate the presence of kozlovs and the ideal situation would be having no kozlovs at all, therefore, any attempt to control the spread of kozlovs is futile.",kozlovs,Nirvana Fallacy,1,informal,insufficiency,test,Nirvana Fallacy
