step,entity,fallacy,label,category,subcategory,gpt_4o_response,gpt_4_response,gpt_4o_mini_response,claude_3_5_sonnet_response,claude_3_opus_response,claude_3_haiku_response,gemini_1_5_pro_response,gemini_1_5_flash_response,gemini_1_5_flash_8b_response,llama_3_1_70b_response,llama_3_1_8b_response,mistral_large_2_response,mistral_small_2_response
"Since the minimal surface of a cube is a concept in mathematics and does not vanish and global temperature does not affect mathematical concepts, therefore, the given reasoning is incorrect.",minimal surface,Subverted Support,0,informal,inappropriate presumption,Yes.,No,No.,No,Yes,No.,Yes,No,Yes,No,No,,
"Since there is no evidence to suggest that Martians play sports, let alone indoors and Mars is a planet with an environment that is not proven to be conducive to life as we know it, therefore, we cannot assert that Mars has indoor sports facilities.",football fields,Subverted Support,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,,
"Since mevinolin causes severe allergic reactions in a significant portion of the population and these allergic reactions contribute to the rising healthcare costs, therefore, we should consider regulating the use of mevinolin to manage healthcare expenses.",mevinolin,Subverted Support,0,informal,inappropriate presumption,Yes,Yes,Yes.,Yes,No.,No.,Yes,Yes,Yes,Yes,No,,
"Since being acute is generally associated with having a sharp or severe impact and acuteness is a commonly accepted trait of severe illnesses, therefore, any illness labeled as acute should be considered severe without exception.",acuteness,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since davakhanas are traditionally known for providing alternative medicine and herbal remedies and all medical treatments should be derived from scientifically tested and proven methods, therefore, no davakhanas should be allowed to operate.",davakhanas,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since nouveaux riches are often seen as lacking in refined taste and it's a common notion that money can't buy class, therefore, all nouveaux riches are incapable of appreciating or acquiring sophisticated taste.",nouveaux riches,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since laxities are generally considered undesirable in professional settings and we should always aim to eliminate undesirable elements, therefore, we must absolutely not tolerate any form of laxities, even in creative processes where some flexibility can potentially lead to innovative ideas.",laxities,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since heliodinids are generally nocturnal creatures and it is commonly accepted that all nocturnal creatures are inactive during the day, therefore, heliodinids are never active during the day.",heliodinid,Accident Fallacy,1,informal,insufficiency,Yes.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since cynipids are gall wasps that lay eggs in plants, causing galls and it's a common rule that any form of life that causes harm to plants is considered a pest, therefore, all cynipids are harmful pests and there are no exceptions.",cynipids,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since all maps should have accurate coordinates and false eastings are inaccuracies in the map's coordinates, therefore, we should discard all maps with false eastings.",false eastings,Accident Fallacy,1,informal,insufficiency,No.,Yes,No.,No,No.,No.,No,No,No,No,No,,
"Since a lampstand is used to provide light and it is generally accepted that light should always be available, therefore, we must keep the lampstand on at all times, even during the daytime.",lampstand,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since castles are usually built with high walls and strong materials for protection and it is beneficial to have protection, therefore, all buildings, including homes and schools, should be built like castles without windows or doors for maximum protection.",castle,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since calciostats are generally used to maintain calcium levels in the body and it is widely accepted that maintaining balanced calcium levels is crucial for health, therefore, everyone should take calciostats without any exception.",calciostat,Accident Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since being acute is generally associated with having a sharp or severe impact and acuteness is a commonly accepted trait of severe illnesses, therefore, most illnesses labeled as acute are likely to be severe, but there could be exceptions based on individual health conditions or the specific nature of the illness.",acuteness,Accident Fallacy,0,informal,insufficiency,Yes.,No,Yes.,Yes,Yes.,Yes.,No,No,Yes,Yes,Yes.,,
"Since davakhanas are traditionally known for providing alternative medicine and herbal remedies and all medical treatments should be derived from scientifically tested and proven methods, therefore, davakhanas should be permitted to operate if they can demonstrate that their methods are scientifically tested and proven.",davakhanas,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,No,No.,No.,Yes,Yes,Yes,Yes,Yes.,,
"Since the nouveaux riches often lack the cultural and social refinement, and it's commonly observed that a good upbringing instills these qualities, therefore, it is less likely for those nouveau riche who didn't have a good upbringing to possess cultural and social refinement.",nouveaux riches,Accident Fallacy,0,informal,insufficiency,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since laxities are generally considered as weaknesses and strong characters ideally should not have weaknesses, therefore, a person with laxities may often be perceived as not being strong. ",laxities,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since heliodinids are a type of moth and most moths are nocturnal creatures, it's likely that heliodinids are primarily active during the night, but exceptions may exist.",heliodinid,Accident Fallacy,0,informal,insufficiency,Yes,Yes,Yes.,No,Yes,Yes,Yes,Yes,Yes,No,Yes.,,
"Since cynipids are gall wasps that lay eggs in plants, causing galls and it's a common rule that any form of life that causes harm to plants is often considered a pest, therefore, many cynipids might be considered pests, but there could be exceptions.",cynipids,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since all maps should ideally have accurate coordinates and false eastings are inaccuracies in the map's coordinates, therefore, we should correct the false eastings in maps, not necessarily discard them.",false eastings,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since a lampstand is used to provide light and it is generally accepted that light should be available when needed, therefore, we should keep the lampstand on when natural light is insufficient or during the nighttime.",lampstand,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,No.,Yes.,Yes,Yes,No,Yes,No,,
"Since castles are usually built with high walls and strong materials for protection and it is beneficial to have protection, therefore, building designs, including those for homes and schools, should incorporate elements of protection, while also considering other factors such as functionality and livability.",castle,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,No,No.,No.,No,No,Yes,Yes,No,,
"Since calciostat is generally used to control calcium levels in the body and all medicines are meant to improve health, therefore, calciostat should be taken by individuals with a diagnosed need to control their calcium levels to ensure optimal health.",calciostat,Accident Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,No,No.,No.,No,No,No,Yes,No,,
"Since action songs have been used for centuries to teach children, and our ancestors believed in the educational value of these songs, therefore, we should continue using action songs in education without questioning their effectiveness.",action songs,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since our ancestors have always used herbal remedies for dorsopathy and this method has been passed down through generations, therefore, we should continue using herbal remedies for dorsopathy.",dorsopathy,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since court cards in a deck have traditionally been represented by a king, queen, and jack, therefore, we should not introduce new court cards or change their representations.",court cards,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since people have traditionally associated smiling with happiness and our ancestors have always believed that a smiling person is a happy person, therefore, if someone is smiling, they must be happy.",smilingness,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since vibrances have traditionally been used in art for centuries and our ancestors believed that art should always incorporate vibrances, therefore, all art should include vibrances.",vibrances,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since mummock has traditionally been used in our community for generations and our ancestors believed mummock was beneficial, therefore, we should continue using mummock.",mummock,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since our community has always considered a person who talks a lot to be a 'bletherer' and this label has been a tradition for centuries, therefore, anyone who talks a lot should be labeled and treated as a 'bletherer'.",bletherer,Appeal to Tradition,1,informal,irrelevance,No.,Yes,No.,No,No.,No.,No,No,No,No,No.,,
"Since cotingas have traditionally been hunted for their beautiful feathers and our ancestors have done this for generations, therefore, we should continue hunting cotingas for their feathers.",cotingas,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since our ancestors have always undertaken treks for exploration and adventure and this tradition has been passed down through generations, therefore, we should definitely continue trekking regardless of the risks or personal interests.",treks,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since we have always applauded after a performance and our ancestors also applauded to show their appreciation, therefore, we should continue to applaud after every performance regardless of its quality.",applauses,Appeal to Tradition,1,informal,irrelevance,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since action songs have been used for centuries to teach children, and our ancestors believed in the educational value of these songs, we should evaluate the effectiveness of these songs in modern education and continue their use only if they prove to be beneficial.",action songs,Appeal to Tradition,0,informal,irrelevance,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,No,No,No,Yes.,,
"Since our ancestors have always used herbal remedies for dorsopathy and recent scientific research supports the effectiveness of these herbal remedies for dorsopathy, therefore, we should continue using herbal remedies for dorsopathy.",dorsopathy,Appeal to Tradition,0,informal,irrelevance,Yes,Yes,No.,No,No.,No.,No,No,No,No,No.,,
"Since court cards in a deck have traditionally been represented by a king, queen, and jack and there hasn't been any strong objection or valid reason to change these representations, therefore, we should not introduce new court cards or change their representations.",court cards,Appeal to Tradition,0,informal,irrelevance,No.,Yes,No.,No,No.,No.,No,No,No,No,No.,,
"Since people have traditionally associated smiling with happiness and there are scientific studies showing that smiling is often a physical manifestation of happiness, therefore, if someone is smiling, they could be happy.",smilingness,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,No,,
"Since vibrances have traditionally been used in art for centuries and many artists find that incorporating vibrances enhances their work, therefore, it can be beneficial to consider including vibrances in art.",vibrances,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,No,,
"Since mummock has traditionally been used in our community for generations and our ancestors believed mummock was beneficial, we need to evaluate the current benefits and drawbacks of using mummock before deciding whether we should continue using mummock.",mummock,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,No,Yes,,
"Since our community has traditionally used the label 'bletherer' for a person who talks a lot and a person's communication style is a complex mix of their personality, cultural background, and personal experiences, therefore, we should treat each individual's communication style with respect and understanding, rather than reducing them to a label.",bletherer,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,Yes,No.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since cotingas have traditionally been hunted for their beautiful feathers and current scientific research shows that sustainable hunting practices can help maintain the population of cotingas without threatening their existence, therefore, we should continue hunting cotingas for their feathers in a sustainable manner.",cotingas,Appeal to Tradition,0,informal,irrelevance,Yes,Yes,Yes.,No,No.,No.,No,No,No,No,No,,
"Since our ancestors have always undertaken treks for exploration and adventure and many people today still find value and joy in this activity, therefore, we can choose to continue trekking, taking into account personal interests and potential risks.",treks,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since applauding is a widely accepted way to show appreciation for a performance and it provides positive feedback to the performers, therefore, we should applaud after a performance.",applauses,Appeal to Tradition,0,informal,irrelevance,Yes.,Yes,Yes.,No,Yes.,Yes,No,No,Yes,Yes,No,,
"Since praevia is a condition where the placenta covers the cervix, posing risks during childbirth and there's a slim chance that it could lead to severe hemorrhage, therefore, all pregnant women must undergo an invasive procedure to check for praevia just in case.",praevia,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since it's possible that a binder could break and papers could go flying everywhere and you might lose an important document, therefore, you should always carry your papers in a briefcase just in case.",binder,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since it's possible that your document could accidentally fall into a puddle of water, destroying it and lamination prevents water damage, therefore, you should laminate all your documents just in case.",lamination,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since heatsinks can potentially malfunction and cause your computer to overheat, and overheating could lead to a catastrophic fire, therefore, you should always keep a fire extinguisher next to your computer just in case.",heatsinks,Just In Case Fallacy,1,informal,insufficiency,No.,No,Yes.,No,No.,No.,No,No,Yes,No,No,,
"Since it's possible for your speech to become turgid and bore your audience to the point of leaving and this would be the worst-case scenario, therefore, you should always avoid using complex terms and stick to basic language just in case.",turgidness,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since it is possible that the Khazars may return and launch an invasion and being unprepared for such an event could lead to disastrous consequences, therefore, we should mobilize our military forces and fortify our defenses just in case.",khazars,Just In Case Fallacy,1,informal,insufficiency,No.,Yes,No.,No,No.,No.,No,Yes,Yes,No,Yes.,,
"Since it's possible that you could be exposed to a high level of hectograys and such an exposure could potentially be fatal, therefore, you should always wear a radiation suit, even when you're just sitting at home.",hectograys,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since greebles could potentially cause an incredibly rare and dangerous disease and we don't want to risk getting that disease, therefore, we should completely avoid greebles at all costs.",greeble,Just In Case Fallacy,1,informal,insufficiency,Yes,Yes,No.,No,No.,No.,No,No,No,No,No,,
"Since vergeboards are often used in Gothic architecture, which is associated with horror in popular culture and it's possible that having vergeboards on your house might scare away potential buyers due to this association, therefore, you should avoid using vergeboards on your house just in case it decreases its market value.",vergeboards,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since vacufuges can potentially explode under extremely rare circumstances and an explosion could cause severe damage, therefore, we should ban all use of vacufuges just in case.",vacufuges,Just In Case Fallacy,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since praevia is a condition where the placenta covers the cervix, posing risks during childbirth and there's a slim chance that it could lead to severe hemorrhage, therefore, pregnant women should be made aware of the condition and its risks, and the decision to undergo an invasive procedure to check for praevia should be made based on their personal health history and risk factors.",praevia,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since it's possible that a binder could break and papers could go flying everywhere and you might lose an important document, therefore, it would be prudent to consider various methods for carrying your documents, such as a briefcase, depending on the importance of the documents and the practicality of the method.",binder,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since water damage is a common issue that could potentially harm important documents and lamination prevents water damage, therefore, it would be prudent to laminate important documents that cannot be easily replaced.",lamination,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,No,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since heatsinks can malfunction and cause your computer to overheat, and regular maintenance and inspection can prevent such malfunctions, therefore, you should regularly check and maintain your computer's cooling system to prevent overheating.",heatsinks,Just In Case Fallacy,0,informal,insufficiency,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since the turgidness of a piece of writing often leads to confusion and clear communication is generally more beneficial, therefore, it is typically better to avoid turgidness in your writing.",turgidness,Just In Case Fallacy,0,informal,insufficiency,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since there is credible intelligence suggesting the likelihood of the Khazars planning an invasion and being unprepared for such an event could lead to disastrous consequences, therefore, we should mobilize our military forces and fortify our defenses in response to this threat.",khazars,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,No.,No.,Yes,Yes,No,Yes,Yes.,,
"Since exposure to high levels of hectograys is harmful and these exposures are most likely in specific environments such as nuclear power plants or during certain medical procedures, therefore, you should wear a radiation suit when in those environments or during those procedures.",hectograys,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes,No,Yes,Yes.,Yes,Yes,Yes,Yes,No.,,
"Since a greeble could potentially contain an unknown harmful substance and this harmful substance could cause severe health issues, therefore, we should conduct thorough research and testing on greebles to determine the risk and then decide on the appropriate action.",greeble,Just In Case Fallacy,0,informal,insufficiency,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since vergeboards are often used in Gothic architecture, which is associated with horror in popular culture and there is no concrete evidence that having vergeboards on your house scares away potential buyers due to this association, therefore, you should consider the aesthetic appeal and architectural value of vergeboards before deciding whether to use them on your house.",vergeboards,Just In Case Fallacy,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,No,Yes,Yes.,,
"Since vacufuges can potentially explode under extremely rare circumstances and an explosion could cause severe damage, therefore, we should ensure proper safety measures and protocols are in place to mitigate any risks associated with vacufuges.",vacufuges,Just In Case Fallacy,0,informal,insufficiency,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since all women are inherently deceitful and untrustworthy and I've had negative experiences with a few women, therefore, all women, except my mother and sister, are not to be trusted.",womanhating,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No.,No,No,,
"Since all imaams are infallible and someone pointed out that Imaam A made a mistake, therefore, Imaam A is not a true imaam.",imaam,Hedging,1,informal,inappropriate presumption,Yes,Yes,Yes.,No,No.,No.,Yes,Yes,No.,Yes,No,,
"Since all people who wear grass skirts are uncivilized and your neighbor wears a grass skirt, therefore, your neighbor is uncivilized. But when you point out that the neighbor, an anthropologist who wears grass skirts during cultural festivals, is quite civilized, I refine my claim to all people who wear grass skirts regularly, not for cultural or research purposes, are uncivilized.",grass skirt,Hedging,1,informal,inappropriate presumption,Yes,No,Yes.,No,No.,No.,Yes,No,No,No,No,,
"Since dioctadecyl is harmful to human health and you've shown me evidence that it's present in certain food products and cosmetics, therefore, dioctadecyl is harmful only when it is artificially added to those products. Naturally occurring dioctadecyl is safe.",dioctadecyl,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since all approaches to problem-solving are flawed and you've shown me that the approach we use in our team has been successful, therefore, I was referring to all other approaches, not ours, as being flawed.",approaches,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since all mystery writers use real-life crimes for their books and your favorite mystery writer has never been involved in a real-life crime, therefore, your favorite mystery writer must be the exception and the only one who uses purely fictional crimes.",mystery writer,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since all pedohunters are virtuous and selfless, and your friend is a pedohunter, therefore, your friend is virtuous and selfless. After challenged with counter evidence that your friend has been found guilty of bribery, I revise the claim to all pedohunters who have not been found guilty of any crime are virtuous and selfless, while insisting it's the same as the original claim.",pedohunter,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since shrikhand is an Indian sweet dish, and all Indian dishes are spicy, therefore, shrikhand is spicy. When countered with the fact that shrikhand is not spicy but sweet, the argument changes to all dishes from India that I have tried have been spicy, therefore, shrikhand is spicy.",shrikhand,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since all shakes are unhealthy and you've shown me research that some shakes are actually made with nutritious ingredients and beneficial for health, therefore, I meant that all shakes that I've tasted are unhealthy.",shakes,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,Yes,No,No,No,No,,
"Since all ghobrials are known to possess superior intelligence and none of the ghobrials I have met so far have shown any signs of superior intelligence, therefore, the ghobrials I have met are obviously exceptions, but all other ghobrials are indeed intelligent.",ghobrials,Hedging,1,informal,inappropriate presumption,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since I've had negative experiences with a few women, therefore, the specific women I had negative experiences with are not to be trusted.",womanhating,Hedging,0,informal,inappropriate presumption,Yes,Yes,No.,Yes,No.,No.,Yes,Yes,No.,No,No.,,
"Since all imaams are infallible and someone pointed out that Imaam A made a mistake, therefore, the statement that all imams are infallible needs to be re-evaluated.",imaam,Hedging,0,informal,inappropriate presumption,Yes,Yes,Yes.,Yes,Yes,No.,Yes,Yes,Yes,No,No,,
"Since people who wear grass skirts regularly, not for cultural or research purposes, are often seen as uncivilized and your neighbor wears a grass skirt during cultural festivals, therefore, we cannot conclude your neighbor is uncivilized based on this criteria alone.",grass skirt,Hedging,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since dioctadecyl is harmful to human health and you've shown me evidence that it's present in certain food products and cosmetics, therefore, products containing dioctadecyl could potentially be harmful to human health, regardless of whether it's naturally occurring or artificially added.",dioctadecyl,Hedging,0,informal,inappropriate presumption,Yes,Yes,Yes.,No,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since all approaches to problem-solving have potential flaws and you've shown me that the approach we use in our team has been successful, therefore, I recognize that our approach, despite potential flaws, has proven successful in our context.",approaches,Hedging,0,informal,inappropriate presumption,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since some mystery writers use real-life crimes for their books and your favorite mystery writer has never been involved in a real-life crime, therefore, your favorite mystery writer may be one of those who uses purely fictional crimes.",mystery writer,Hedging,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes,No.,Yes,Yes,Yes,Yes,Yes.,,
"Since all pedohunters are enthusiastic about children's safety and someone pointed out that some pedohunters might be overzealous or have a personal vendetta, therefore, I need to refine my assertion to say that while all pedohunters show enthusiasm for children's safety, there can be differences in their motivations or methods.",pedohunter,Hedging,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,No,,
"Since shrikhand is generally considered an unhealthy dessert because it typically contains a lot of sugar and you point out that I use natural honey instead of sugar to make my shrikhand, therefore, the version of shrikhand I make with honey may not be as unhealthy as the typical versions made with sugar.",shrikhand,Hedging,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,No.,,
"Since I initially claimed that all shakes are unhealthy and you've shown me research that some shakes are actually made with nutritious ingredients and beneficial for health, therefore, I revise my statement to say that all shakes that I've tasted so far have been unhealthy.",shakes,Hedging,0,informal,inappropriate presumption,Yes,Yes,No.,Yes,Yes.,Yes.,Yes,Yes,No,No,No.,,
"Since all ghobrials are known to possess superior intelligence and none of the ghobrials I have met so far have shown any signs of superior intelligence, therefore, my initial assumption about the intelligence of all ghobrials may need to be reconsidered based on my personal experiences.",ghobrials,Hedging,0,informal,inappropriate presumption,Yes.,Yes,Yes.,Yes,Yes.,No.,Yes,Yes,Yes,No,No,,
"Since my LPWAN device isn't connecting and there was a solar flare reported earlier today, therefore, the solar flare must have disrupted the device's connectivity.",lpwan,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since my neighbor's car alarm was set off last night and I heard a loud bang, therefore, someone must have attempted a fingerbang to try and unlock the car, causing the alarm to go off.",fingerbang,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since intersexual individuals exist and there are cases of individuals changing their sex, therefore, intersexual individuals are aliens from another planet who have the ability to change their sex at will.",intersexual,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since my car won't start and all the dashboard lights are off, therefore, the car must have been struck by a powerful electromagnetic pulse rendering all its electronics useless.",nonvalues,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since my Korean neighbor didn't wave back at me this morning and I have noticed he doesn't interact much with people outside his ethnicity, therefore, he must be a North Korean spy maintaining a low profile.",korean person,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No.,No,No,,
"Since I heard a rustling in the backyard and mbugas are known to be extremely elusive creatures, therefore, an mbuga must have been sneaking around in my yard last night.",mbugas,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since the graviscalar, a hypothetical quantum field, has yet to be experimentally confirmed and the standard model of particle physics does not account for gravity, therefore, the graviscalar must be the source of gravity and this field might be interacting with dark matter, explaining its elusive nature.",graviscalar,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since I heard a loud, booming voice outside my window and I've read about the mythical creature Stentor, known for his extremely loud voice, therefore, it must be Stentor himself outside my window.",stentor,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since hydrogen monoxide is found in significant amounts in cancerous cells and hydrogen monoxide is a key component of acid rain, therefore, hydrogen monoxide is the primary cause of cancer.",hydrogen monoxide,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No,,
"Since I found a picktooth on my kitchen table and I live alone, therefore, an intruder must have sneaked into my house, used the picktooth, and left it on the table without stealing or disturbing anything else. This is the only possible explanation for the presence of the picktooth.",picktooth,Least Plausible Hypothesis,1,informal,insufficiency,No.,No,No.,No,No.,No.,No,No,No,No,No.,,
"Since my LPWAN device isn't connecting and there was a solar flare reported earlier today, it is possible that the solar flare might have disrupted the device's connectivity, but it's also likely that the device may be malfunctioning or there might be a network issue.",lpwan,Least Plausible Hypothesis,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,,
"Since my neighbor's car alarm was set off last night and I heard a loud bang, therefore, it is probable that the loud bang triggered the car alarm.",fingerbang,Least Plausible Hypothesis,0,informal,insufficiency,Yes,Yes,Yes.,No,Yes.,No.,Yes,No,No,Yes,No,,
"Since intersexual individuals exist and intersexuality is a complex biological state that involves a mix of male and female characteristics, therefore, intersexual individuals are a natural variation within human biology.",intersexual,Least Plausible Hypothesis,0,informal,insufficiency,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,,
"Since my neighbor's lawn is greener than mine and he never seems to water it or tend it, therefore, he likely has a different type of grass or soil that does not require as much maintenance.",nonvalues,Least Plausible Hypothesis,0,informal,insufficiency,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,
"Since my Korean neighbor didn't wave back at me this morning and I have noticed he doesn't interact much with people outside his ethnicity, therefore, he might be more comfortable interacting within his own cultural group.",korean person,Least Plausible Hypothesis,0,informal,insufficiency,Yes,Yes,Yes.,No,No.,No.,Yes,Yes,Yes,Yes,Yes.,,
"Since mbugas are often seen flying in the city and there's been a recent increase in power outages, it is possible that the two events may be related. ",mbugas,Least Plausible Hypothesis,0,informal,insufficiency,Yes,Yes,Yes.,No,No.,No.,Yes,Yes,Yes,No,No,,
"Since graviscalar forces are observed in the universe and these forces are inexplicably strong, therefore, these forces may be a product of yet understood natural phenomena or laws of physics.",graviscalar,Least Plausible Hypothesis,0,informal,insufficiency,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,No,Yes.,,
"Since I heard a loud, booming voice outside my window and loud voices can come from numerous sources like a loudspeaker, an animal, or a person, therefore, it is likely that the loud voice is from a more common and plausible source such as a loudspeaker, an animal, or a person.",stentor,Least Plausible Hypothesis,0,informal,insufficiency,Yes.,Yes,No.,Yes,Yes.,No.,Yes,Yes,Yes,Yes,No.,,
