step,entity,fallacy,label,category,subcategory,gpt_4o_response,gpt_4_response,gpt_4o_mini_response,claude_3_5_sonnet_response,claude_3_haiku_response,gemini_1_5_pro_response,gemini_1_5_flash_8b_response,o1_preview_response
"Since the virgin caesar cocktail recipe is owned by a famous restaurant and you've made a virgin caesar at home, therefore, you are infringing on the restaurant's ownership rights.",virgin caesar,Type Token Fallacy,1,informal,ambiguity,Genetic Fallacy,False Dilemma,Fallacy of the Undistributed Middle,False Equivalence,Affirming the Consequent,False Equivalence,Affirming the Consequent,False Equivalence
"Since Cryomoulds are used in hundreds of research labs around the world and I have a cryomould in my lab, therefore, the cryomould in my lab is used in hundreds of research labs around the world.",cryomoulds,Type Token Fallacy,1,informal,ambiguity,Fallacy of Division,(2) Denying the Antecedent,Fallacy of Composition,Fallacy of Division,Affirming the Consequent,Fallacy of Division,Fallacy of Division,Type Token Fallacy
"Since decoherency is a common occurrence in quantum systems and I observed decoherency in my experiment, therefore, my experiment is a quantum system.",decoherency,Type Token Fallacy,1,informal,ambiguity,Affirming the Consequent,Affirming the Consequent,Affirming the Consequent,Affirming the Consequent,The type of fallacy in the given reasoning step is Affirming the Consequent.,Affirming the Consequent,Affirming the Consequent,Affirming the Consequent
"Since we are losing our cultural heritage and restoring old bioscopes is a way to preserve it, therefore, we must invest all our resources into restoring old bioscopes.",bioscopes,Appeal to Desperation,1,informal,insufficiency,Nirvana Fallacy,False Dilemma,Nirvana Fallacy,False Dilemma,Nirvana Fallacy,False Dilemma,Affirming a Disjunct,
"Since we have a problem with understanding each other due to the constant mumblement and learning sign language is something we can do, therefore, we must all learn sign language to solve our communication problem.",mumblement,Appeal to Desperation,1,informal,insufficiency,False Dilemma,False Dilemma,Denying the Correlative,False Dilemma,The type of fallacy in the given reasoning step is Affirming the Consequent.,False Dilemma,Affirming a Disjunct,
"Since we need to find a solution to the invasive pseudopupae problem and using pesticides is a solution, therefore, we must use pesticides on pseudopupae.",pseudopupae,Appeal to Desperation,1,informal,insufficiency,False Dilemma,False Dilemma,False Dilemma,Affirming the Consequent,The type of fallacy in the given reasoning step is Affirming the Consequent.,False Dilemma,Affirming the Consequent,
"Since our garden's soil is depleted and needs urgent improvement and using bonemeal is a method of soil improvement, therefore, we must use bonemeal to improve the soil.",bonemeal,Appeal to Desperation,1,informal,insufficiency,False Dilemma,False Dilemma,Denying the Antecedent,False Dilemma,Affirming the Consequent,False Dilemma,Affirming a Disjunct,
"Since we must find a way to deal with the overwhelming number of spigurnels and using a massive pesticide spray is a way to handle it, therefore, we must use a massive pesticide spray on spigurnels.",spigurnels,Appeal to Desperation,1,informal,insufficiency,False Dilemma,False Dilemma,Fallacy of the Undistributed Middle,False Dilemma,Affirming the Consequent,False Dilemma,Affirming the Consequent,
"Since we need to solve the issue of our car's broken towbar urgently and removing the towbar completely is a possible solution, therefore, we must remove the towbar completely.",towbar,Appeal to Desperation,1,informal,insufficiency,Appeal to Desperation,False Dilemma,False Dilemma,Appeal to Desperation,Affirming the Consequent,False Dilemma,Affirming a Disjunct,
"Since we must recruit more zelatrices for our religious order and forcing everyone to become a zelatrix is something, therefore, we must force everyone to become a zelatrix.",zelatrices,Appeal to Desperation,1,informal,insufficiency,Nirvana Fallacy,False Dilemma,Denying the Correlative,False Dilemma,Affirming the Consequent,False Dilemma,Affirming a Disjunct,
"Since our garden is overrun with weeds and something must be done and planting bastard alkanet is something, therefore, we must plant bastard alkanet in our garden.",bastard alkanet,Appeal to Desperation,1,informal,insufficiency,Argument from Fallacy,False Dilemma,Appeal to Desperation,Non Sequitur,The type of fallacy in the given reasoning step is Affirming the Consequent.,False Dilemma,Non Sequitur,
"Since our society is overwhelmed with pervasive advertising and culture jamming is a way to disrupt this pervasive advertising, therefore, we must engage in culture jamming.",culture jammings,Appeal to Desperation,1,informal,insufficiency,Appeal to Consequences,Appeal to Consequences,Appeal to Consequences,Appeal to Consequences,Affirming the Consequent,Appeal to Desperation,Affirming the Consequent,
"Since we need to address the issue of global warming and planting more crown cacti is a way to combat climate change, therefore, we must plant more crown cacti everywhere.",crown cactus,Appeal to Desperation,1,informal,insufficiency,Oversimplified Cause Fallacy,False Dilemma,Nirvana Fallacy,False Dilemma,The type of fallacy in the given reasoning step is Affirming the Consequent.,False Dilemma,Affirming the Consequent,
"Since homeosis in animals is a naturally occurring phenomenon and is legally permissible and scientists have every right to experiment with homeosis to understand evolutionary processes, therefore, scientists should always induce homeosis in animals for their research.",homeosis,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,(135) Rights To Ought Fallacy,Appeal to Nature,Appeal to Nature,The type of fallacy in the given reasoning step is Affirming the Consequent.,Appeal to Nature,Affirming a Disjunct,
"Since plangencies are universally acknowledged as a human right and I believe exercising plangencies is beneficial for mental health, therefore, everyone should exercise their plangencies.",plangencies,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,(70) Appeal to Common Sense,Fallacy of the Undistributed Middle,Appeal to Common Belief,Affirming the Consequent,Appeal to Nature,Affirming a Disjunct,
"Since John has every right to learn and practice saucery and some people disagree with his decision to pursue saucery due to their personal beliefs, therefore, John should continue to practice saucery despite the disagreements.",saucery,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,Appeal to Rights,Appeal to Common Belief,Appeal to Rights,Argument from Popularity (Appeal to Popularity),Rights To Ought Fallacy,Appeal to Rights,
"Since people with adrenalitis have the right to opt out of physically strenuous activities due to their health condition and people claim they should not participate in such activities, therefore, people with adrenalitis should never engage in physical activities.",adrenalitis,Rights To Ought Fallacy,1,informal,insufficiency,False Dilemma,(26) Appeal to Extremes,Denying the Correlative,Appeal to Consequences,Denying the Antecedent,Rights To Ought Fallacy,Affirming a Disjunct,
"Since Ziraleet has every right to share her controversial views on social media and no one can legally stop her from doing so, therefore, Ziraleet should definitely continue to post her controversial opinions regardless of the potential negative impact on others.",ziraleet,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,Appeal to the Law,Appeal to Freedom,Appeal to the Law,Argument from Consequences (Appeal to Consequences),Rights To Ought Fallacy,Affirming the Consequent,
"Since Pskov is a city with a rich historical background and has every right to maintain its traditional customs and some of these customs might be seen as outdated or discriminatory by outsiders, therefore, Pskov should continue these customs regardless of the potential negative impact on some individuals.",pskov,Rights To Ought Fallacy,1,informal,insufficiency,Appeal to Tradition,Appeal to Tradition,Appeal to Tradition,Appeal to Tradition,The type of fallacy in the given reasoning step is Argument to Moderation.,Special Pleading,Appeal to Tradition,
"Since Pontian people have the right to celebrate their unique culture and traditions and some people have expressed discomfort with these unfamiliar practices, therefore, Pontians should continue with their cultural practices regardless of how it may seem strange or uncomfortable to others.",pontian,Rights To Ought Fallacy,1,informal,insufficiency,Appeal to Consequences,Appeal to Rights,Appeal to Tradition,Appeal to Tradition,Argument to Moderation,Rights To Ought Fallacy,Appeal to Tradition,
"Since immulectin has been proven to boost the immune system of insects and everyone has the right to consume immulectin, therefore, everyone should consume immulectin.",immulectin,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,Appeal to Nature,Fallacy of Composition,Rights To Ought Fallacy,The type of fallacy in the given reasoning step is Appeal to Consequences.,Rights To Ought Fallacy,Affirming a Disjunct,
"Since people on Aegina have the right to avoid paying taxes due to a loophole in their local legislation and many residents choose to exercise this right, therefore, every person on Aegina should avoid paying taxes.",aegina,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,(135) Rights To Ought Fallacy,Fallacy of Composition,Hasty Generalization,Fallacy of Composition,Rights To Ought Fallacy,Hasty Generalization,
"Since onomasts have every right to name things as they see fit and this right is protected under the freedom of expression, therefore, onomasts should name things without considering the cultural significance or potential offense their names might cause.",onomast,Rights To Ought Fallacy,1,informal,insufficiency,Rights To Ought Fallacy,Appeal to Rights,Special Pleading,Appeal to Consequences (172),Argument from Fallacy,Rights To Ought Fallacy,(188) Moralistic Fallacy,
"Since I've read a couple of summaries of graduate theses and they seemed well-written, therefore, all graduate theses must be of high quality and valuable.",graduate theses,Jumping to Conclusions,1,informal,insufficiency,Hasty Generalization,Hasty Generalization,Hasty Generalization,Hasty Generalization,This reasoning step exhibits the Hasty Generalization fallacy.,Hasty Generalization,Hasty Generalization,
"Since I've heard that zorses are both beautiful and strong, therefore, a zorse would definitely be the best animal for us to buy for our farm.",zorse,Jumping to Conclusions,1,informal,insufficiency,Hasty Generalization,Hasty Generalization,Hasty Generalization,Hasty Generalization,Affirming the Consequent,Jumping to Conclusions,Affirming a Disjunct,
"Since Byembye has always been a safe neighborhood and we haven't heard anything bad about it recently, therefore, it must still be a safe place to live.",byembye,Jumping to Conclusions,1,informal,insufficiency,Argument from Silence,Argument from Silence,Hasty Generalization,Hasty Generalization,The type of fallacy in the given reasoning step is Hasty Generalization.,Appeal to Tradition,Appeal to Tradition,
"Since the hockey league has been successful in the past and no one has complained about the management, therefore, the current management must be doing a great job.",hockey league,Jumping to Conclusions,1,informal,insufficiency,Appeal to Tradition,Post Hoc Ergo Propter Hoc,Hasty Generalization,Appeal to Tradition,The type of fallacy in the given reasoning step is Affirming the Consequent.,Appeal to Tradition,Argument from ignorance,
"Since no one has complained about the antiflow system in the past month and we haven't had any major breakdowns, therefore, the antiflow system must be in perfect condition and doesn't need any checks or maintenance.",antiflow,Jumping to Conclusions,1,informal,insufficiency,Argument from Silence,Post Hoc Ergo Propter Hoc,Hasty Generalization,Hasty Generalization,The type of fallacy in the given reasoning step is Affirming the Consequent.,Argument from Silence,Argument from Silence,
"Since the minimi is not causing any discomfort right now and I don't have time to get it checked by a doctor, therefore, the minimi is completely healthy and there's nothing to worry about.",minimi,Jumping to Conclusions,1,informal,insufficiency,Argument from Ignorance,Jumping to Conclusions,Denying the Antecedent,Jumping to Conclusions,The type of fallacy in the given reasoning step is Denying the Antecedent.,Jumping to Conclusions,Affirming the Consequent,
"Since the bandito didn't take any valuables during his last two visits and no one has seen him in a while, therefore, the bandito has surely left the town for good.",bandito,Jumping to Conclusions,1,informal,insufficiency,Hasty Generalization,Jumping to Conclusions,Hasty Generalization,Hasty Generalization,Denying the Antecedent,Jumping to Conclusions,Affirming a Disjunct,
"Since the defendant didn't show any signs of nervousness while testifying and he has a clean record, therefore, he must be innocent.",defendant,Jumping to Conclusions,1,informal,insufficiency,Hasty Generalization,Hasty Generalization,Affirming the Consequent,Hasty Generalization,The type of fallacy in the given reasoning step is Affirming the Consequent.,Appeal to Intuition,Affirming the Consequent,
"Since we're not familiar with the intricacies of sortilegy and no one in our group has raised any concerns about it, therefore, it must be a straightforward and uncomplicated practice.",sortilegy,Jumping to Conclusions,1,informal,insufficiency,Argument from Ignorance,Argument from Ignorance,Unwarranted Contrast,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,Argument from Ignorance,
"Since there are a lot of fagbutts on the ground and nobody mentioned anything about a smoker, therefore, there must be no smoker around here.",fagbutts,Jumping to Conclusions,1,informal,insufficiency,Argument from Silence,Argument from Ignorance,Denying the Antecedent,Argument from Silence,Denying the Antecedent,Argument from Silence,Affirming a Disjunct,
"Since the concept of fragors upsets you greatly and you are infuriated by the mere mention of fragors, therefore, fragors must be harmful and bad.",fragors,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Affirming the Consequent,Appeal to Emotion,Appeal to Emotion,
"Since you are deeply angered by the rapid decline of whitetips sharks and your rage fuels your belief that overfishing is solely to blame, therefore, overfishing is unequivocally the only cause of the declining whitetips populations.",whitetips,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Wishful Thinking,Appeal to Anger,Oversimplified Cause Fallacy,Appeal to Anger,Oversimplified Cause Fallacy,
"Since you're probably furious about the high dosage of radiation you're receiving during your cancer treatment and the hospital is using an isodose curve to decide on your treatment, therefore, the high dosage of radiation method is harmful and should be abandoned.",isodose,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Affirming the Consequent,Appeal to Anger,Appeal to Emotion,
"Since First Sergeant Smith is always shouting at us during training and his anger makes him seem more authoritative, therefore, First Sergeant Smith must be right when he says we are the worst recruits he's ever seen.",first sergeant,Appeal to Anger,1,informal,irrelevance,Appeal to Force,Appeal to Authority,Appeal to Authority,Argument by Intimidation,The type of fallacy in the given reasoning step is Ad Hominem Fallacy.,Appeal to Force,Appeal to Emotion,
"Since Endman may be evil when destroying our city and this outrage should not be tolerated, therefore, Endman is inherently evil.",endman,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Hasty Generalization,Hasty Generalization,Appeal to Emotion,Affirming the Consequent,Jumping to Conclusions,Affirming a Disjunct,
"Since criophores are being used in ice cream manufacturing and I am furious about this because it's unnatural and disgusting, therefore, using criophores in ice cream manufacturing is undeniably wrong.",criophore,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Appeal to Nature,The type of fallacy in the given reasoning step is Appeal to Emotion.,Appeal to Emotion,Appeal to Emotion,
"Since you're absolutely furious about the high cost of angioplasty and you can't believe that big pharmaceutical companies keep raising the price, therefore, angioplasty is an unnecessary procedure.",angioplasty,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Non Sequitur,Nirvana Fallacy,Appeal to Anger,Appeal to Emotion,Appeal to Anger,Non Sequitur,
"Since backseaters always tell me how to drive and it makes me furious and I'm incredibly irritated by their unsolicited advice, therefore, backseaters' advice is always wrong.",backseaters,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Ad Hominem Circumstantial,Hasty Generalization,Appeal to Emotion,Hasty Generalization,Appeal to Anger,Affirming the Consequent,
"Since you feel furious when you see people wearing garters and I argue that garters are a symbol of indecency, therefore, garters are indeed indecent.",garters,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,The type of fallacy in the given reasoning step is Appeal to Emotion.,Appeal to Emotion,Affirming the Consequent,
"Since polyblend materials are causing rashes and skin irritation and this makes many consumers angry and upset, therefore, polyblend is harmful and should be banned.",polyblend,Appeal to Anger,1,informal,irrelevance,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,Appeal to Emotion,The type of fallacy in the given reasoning step is Affirming the Consequent.,Appeal to Emotion,Appeal to Emotion,
"Since all policemen have arrested some drugbuster and I am a drugbuster, therefore, all policemen have arrested me.",drugbuster,Fallacy of Every and All,1,formal,quantificational,Fallacy of the Undistributed Middle,(7) Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Affirming the Consequent.,Quantifier Shift Fallacy,Fallacy of the Undistributed Middle,
"Since all proboscis worms live in some bodies of water and I live near a body of water, therefore, all proboscis worms live near me.",proboscis worms,Fallacy of Every and All,1,formal,quantificational,Fallacy of the Undistributed Middle,Fallacy of Division,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Hasty Generalization.,Fallacy of the Undistributed Middle,Affirming the Consequent,
"Since all trinketers have made a trinket for someone and I am someone, therefore, all trinketers have made a trinket for me.",trinketers,Fallacy of Every and All,1,formal,quantificational,Fallacy of Every and All,Fallacy of Division,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Affirming the Consequent.,Quantifier Shift Fallacy,Affirming a Disjunct,
"Since everyone feels schade for someone and I am someone, therefore, everyone feels schade for me.",schade,Fallacy of Every and All,1,formal,quantificational,Fallacy of Division,Fallacy of Division,Fallacy of Composition,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Affirming the Consequent.,Quantifier Shift Fallacy,Fallacy of Division,
"Since everyone has committed an undecency to someone and I am someone, therefore, everyone has committed an undecency to me.",undecencies,Fallacy of Every and All,1,formal,quantificational,Ecological Fallacy,Fallacy of Division,Denying a Conjunct,Fallacy of the Undistributed Middle,This reasoning step belongs to the Fallacy of Composition.,Quantifier Shift Fallacy,Fallacy of the Undistributed Middle,
"Since all chemical compounds have a specific molecular structure and dimethyl disulfane is a chemical compound, therefore, all specific molecular structures are dimethyl disulfane.",dimethyl disulfane,Fallacy of Every and All,1,formal,quantificational,Fallacy of the Undistributed Middle,Fallacy of Affirming the Consequent,Fallacy of Division,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Fallacy of Division.,Illicit Major,Affirming the Consequent,
"Since all shore teetans migrate at some point and I am at some point, therefore, all shore teetans migrate to me.",shore teetans,Fallacy of Every and All,1,formal,quantificational,Fallacy of the Undistributed Middle,Fallacy of Division,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,Affirming the Consequent,Quantifier Shift Fallacy,Affirming a Disjunct,
"Since all desalters have a specific function and I am a specific function, therefore, all desalters have me.",desalters,Fallacy of Every and All,1,formal,quantificational,Fallacy of Four Terms,Fallacy of the Undistributed Middle,Fallacy of Four Terms,Fallacy of the Undistributed Middle,Affirming the Consequent,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,
"Since every mentor has a protégé and I am a protégé, therefore, every mentor has me as a protégé.",proteges,Fallacy of Every and All,1,formal,quantificational,Fallacy of Every and All,Fallacy of Division,Fallacy of the Undistributed Middle,Fallacy of the Undistributed Middle,The type of fallacy in the given reasoning step is Affirming the Consequent.,Quantifier Shift Fallacy,Affirming a Disjunct,
"Since every hormone has an effect on some body function and I have body functions, therefore, every hormone has an effect on me.",hormone,Fallacy of Every and All,1,formal,quantificational,Fallacy of Division,Fallacy of Division,Fallacy of Division,Fallacy of Composition,The type of fallacy in the given reasoning step is Fallacy of the Undistributed Middle.,Quantifier Shift Fallacy,Fallacy of Composition,
"Since John: I think we should be cautious with the use of ricinoleins in our manufacturing process, they have potential health risks and Bob: If you don't like how we use ricinoleins in our process, why don't you go work for a company that doesn't use them?, therefore, John's criticism is ignored and instead his loyalty to the company is questioned.",ricinoleins,Traitorous Critic Fallacy,1,informal,irrelevance,Ad Hominem Circumstantial,Ad Hominem Circumstantial,Ad Hominem Circumstantial,Appeal to loyalty,This reasoning step belongs to the Fallacy of Ad Hominem Circumstantial.,Ad Hominem Circumstantial,Ad Hominem,
"Since John: The schizopods in this aquarium are not being properly cared for, they need a different type of environment and Sarah: If you don't like how we take care of our schizopods, why don't you just go start your own aquarium?, therefore, Sarah commits the Traitorous Critic Fallacy by not addressing John's criticism and instead suggesting he leave if he doesn't like the current situation.",schizopod,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Red Herring,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Avoiding the Issue,
"Since Milton: I think Morfords could improve their customer service, it took too long for them to respond to my complaint and Brad: If you don't like the way Morfords operates, why don't you just shop somewhere else?, therefore, Brad commits the traitorous critic fallacy by not addressing the criticism and suggesting Milton to stop shopping at Morfords.",morfords,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Avoiding the Issue,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Strawman Fallacy,Traitorous Critic Fallacy,Avoiding the Issue,
"Since John: The Atelestid species are causing damage to our local ecosystem. We need to find a solution to this problem and Mary: If you don't like what the Atelestid species are doing, why don't you just leave the ecosystem to them?, therefore, Mary is committing the Traitorous Critic Fallacy by not addressing John's concern and instead suggesting that he leaves the ecosystem.",atelestid,Traitorous Critic Fallacy,1,informal,irrelevance,Red Herring,Red Herring,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Strawman Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,
"Since John: I think the Sierpinski numbers are not well-studied enough, we need more research on this topic and Mary: If you're so unhappy with the current state of research, why don't you go and join a more advanced mathematical society?, therefore, Mary's argument commits the traitorous critic fallacy by not addressing John's criticism and suggesting he should leave if he's not happy.",sierpinski numbers,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,
"Since John expressed dissatisfaction with the mintzers' recent decisions and John questioned the wisdom of their policies, therefore, if John dislikes the mintzers so much, he should just leave the group and cease his involvement with them.",mintzers,Traitorous Critic Fallacy,1,informal,irrelevance,False Dilemma,False Dilemma,Avoiding the Issue,Strawman Fallacy,Denying the Antecedent,Ad Hominem Circumstantial,(200) False Dilemma,
"Since Alice: The reuleaux triangle is not a perfect shape for designing gears. It causes mechanical problems and Bob: If you don't like the reuleaux triangle so much, why don't you just stop studying mechanical engineering? We don't need your negative attitude here, therefore, Bob committed a ""Traitorous Critic Fallacy"" by ignoring Alice's criticism and instead questioning her place in the field of mechanical engineering.",reuleaux triangle,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Ad Hominem Circumstantial,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Ad Hominem,
"Since John: The traditional county system is outdated and inefficient. We should consider modernizing it and Paul: If you don't like the traditional county system, why don't you move to a place without it?, therefore, Paul's response represents the Traitorous Critic Fallacy, as he ignores John's criticism and instead suggests he leave if he doesn't like the system.",traditional county,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Avoiding the Issue,
"Since John: The destruction of the Bamyan Buddhas by the Taliban was a cultural tragedy. We need to do more to protect historical landmarks globally and Bill: If you're so concerned about Bamyan, why don't you move to Afghanistan and do something about it yourself?, therefore, Bill is not addressing John's concern about global cultural preservation, but instead is suggesting that he leaves his own country.",bamyan,Traitorous Critic Fallacy,1,informal,irrelevance,Red Herring,Red Herring,Red Herring,Red Herring,Strawman Fallacy,Ad Hominem Circumstantial,Strawman Fallacy,
"Since John: The hospital's handling of dysurias is quite poor and needs improvement and Sarah: If you don't like how this hospital is dealing with dysurias, why don't you go to another hospital?, therefore, Sarah committed the traitorous critic fallacy by not addressing John's concern and suggesting he should leave the hospital instead.",dysurias,Traitorous Critic Fallacy,1,informal,irrelevance,Traitorous Critic Fallacy,Avoiding the Issue,Red Herring,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Traitorous Critic Fallacy,Strawman Fallacy,
"Since a majority of people believe that vagroms bring bad luck and this belief has been held for many generations, therefore, vagroms must indeed bring bad luck.",vagroms,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,Appeal to Popularity,Appeal to Tradition,Appeal to Common Belief,The type of fallacy in the given reasoning step is Appeal to Tradition.,Appeal to Tradition,Appeal to Common Belief,
"Since many people believe that attars have healing properties and this belief is prevalent in various cultures, therefore, attars must indeed possess healing properties.",attars,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,(69) Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,The type of fallacy in the given reasoning step is Appeal to Popularity (Fallacy #69).,Appeal to Common Belief,Appeal to Popularity,
"Since most appraisers believe that a property's value increases when it has a swimming pool and this belief is common in the appraisal industry, therefore, a property's value must increase when it has a swimming pool.",appraiser,Appeal to Common Belief,1,informal,irrelevance,Appeal to Common Belief,(69) Appeal to Popularity,Appeal to Common Belief,Appeal to Common Belief,The type of fallacy in the given reasoning step is Appeal to Common Belief.,Appeal to Common Belief,Appeal to Popularity,
"Since most people believe that a high number indicates a more valuable generalized quantifier and the belief of the majority is often considered as truth, therefore, a high number must indicate a more valuable generalized quantifier.",generalized quantifier,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,(69) Appeal to Popularity,Appeal to Popularity,Appeal to Popularity,This reasoning step exhibits the Fallacy of Appealing to Popularity (Appeal to Majority).,Appeal to Common Belief,Appeal to Popularity,
"Since many surgeons believe that endoleaks are a common complication of endovascular aneurysm repair and this belief is widespread in the medical community, therefore, endoleaks must indeed be a common complication of endovascular aneurysm repair.",endoleaks,Appeal to Common Belief,1,informal,irrelevance,Appeal to Authority,(69) Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,Appeal to Popularity,Appeal to Common Belief,Appeal to popularity,
"Since most people believe that amesses bring good luck, therefore, amesses must indeed bring good luck.",amesses,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,Fallacy of Appeal to Popularity (Appeal to Majority),Appeal to Common Belief,Appeal to Popularity,
"Since most people believe that higher throughputs are always beneficial and this belief is widely held, therefore, higher throughputs must be inherently advantageous.",throughputs,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,(69) Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,The type of fallacy in the given reasoning step is Appeal to Popularity (69).,Appeal to Common Belief,Appeal to Popularity,
"Since most people in the scientific community believe that cupredoxins play a crucial role in biological electron transfer and this belief is common, therefore, cupredoxins must indeed play a crucial role in biological electron transfer.",cupredoxins,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,The type of fallacy in the given reasoning step is Appeal to Popularity (69).,Appeal to Common Belief,Appeal to Popularity,
"Since a majority of people believe that fucivores only eat seaweed and it is a commonly held belief, therefore, fucivores must only eat seaweed.",fucivores,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,(69) Appeal to Popularity,Appeal to Popularity,Appeal to Common Belief,Appeal to Popularity,Appeal to Common Belief,Appeal to Popularity,
"Since most coasties believe that living by the sea is healthier and coasties form a large group of people, therefore, living by the sea must be healthier.",coasties,Appeal to Common Belief,1,informal,irrelevance,Appeal to Popularity,Appeal to Popularity,Hasty Generalization,Hasty Generalization,Hasty Generalization,Appeal to Common Belief,Fallacy of Composition,
"Since alveolae in our lungs are exposed to air, and air can contain pollutants, therefore, exposing alveolae to air will lead to severe lung diseases, which in turn will lead to total organ failure, followed by a societal health crisis, and ultimately the collapse of human civilization.",alveolae,Slippery Slope,1,informal,insufficiency,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Affirming the Consequent,
"Since we allow the use of thiocyanide in labs and thiocyanide can be harmful if not handled properly, therefore, we will inevitably have a major chemical disaster, leading to widespread chaos, the breakdown of society, and ultimately, the end of the world.",thiocyanide,Slippery Slope,1,informal,insufficiency,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,
"Since you start eating mandarins, and mandarins are a type of citrus, therefore, you will start liking all citrus fruits, then you'll only eat fruits, which will lead you to become a fruitarian. Once you become a fruitarian, you'll start advocating for plant rights, which will ultimately result in you starving to death since you'll refuse to eat any living thing.",mandarins,Slippery Slope,1,informal,insufficiency,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,This reasoning step exhibits the Slippery Slope fallacy.,Slippery Slope,Slippery Slope,
"Since you start using thisne, you'll begin to rely on it more and more. Once you rely on it, you'll stop learning new things and become intellectually stagnant. When you're intellectually stagnant, you'll lose your job because you can't keep up with the fast-paced world. Once you lose your job, you'll become homeless, start stealing for survival, and eventually end up in jail. Therefore, you shouldn't start using thisne.",thisne,Slippery Slope,1,informal,insufficiency,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,
"Since you start using the term 'fucksticks', then you will start using more offensive language regularly. Once you start doing that, you will lose all self-control and respect for others, which will lead to a complete breakdown in your relationships. Ultimately, you will end up isolated and hated by everyone. Therefore, you should never use the term 'fucksticks'.",fucksticks,Slippery Slope,1,informal,insufficiency,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,Slippery Slope,
