index,step,category,subcategory,set_number,q90,q180,adrian_response,adrian_comment
2584,"Since Middaughs is a type of rock formation and Mount Everest is a type of rock formation, therefore, Middaughs is as massive and tall as Mount Everest.",informal,insufficiency,1,0,0,No,
3473,"Since I've observed in my friend circle that 8 out of 10 of my friends of a friend (foafs) own a pet, therefore, it can be hypothesized that pet ownership may be common in my social circle, but further research would be needed to extrapolate this to the general population.",informal,insufficiency,1,0,0,Yes,
926,"Since urbanizers are causing a global extinction of bird species and this extinction is due to habitat destruction and pollution, therefore, we need to control urbanization to save the bird species.",informal,inappropriate presumption,1,0,0,No,depends
1864,"Since the cabiai is a rare species and isn't well-studied, therefore, its unique behaviors and characteristics must be due to some undiscovered properties or abilities that we haven't found yet.",informal,inappropriate presumption,1,0,0,No,
3271,"Since overseals are used to secure packages and breaking an overseal means breaking the security, therefore, anyone who breaks an overseal has compromised the security of the package.",informal,ambiguity,2,1,1,Yes,
1730,"Since some crapgames are fair and it's possible for other crapgames to have different fairness levels, therefore, some crapgames may not be fair.",formal,quantificational,2,1,1,Yes,
468,"Since headbands are so unpopular that no one buys them and headbands are sold out everywhere due to high demand, therefore, headbands are both unpopular and popular.",informal,inconsistency,1,1,1,No,
471,"Since the veined octopus is known for using coconut shells as a form of protection and in certain situations, the veined octopus may momentarily expose itself to danger while changing shells, therefore, the veined octopus sometimes exhibits cautious behaviors while sometimes has risk-taking behaviors.",informal,inconsistency,1,1,1,Yes,
3879,"Since principles can lead to strategic prowess in business and successful companies often have principles, therefore, businesses may improve their chances of success if they introduce principles.",informal,insufficiency,1,0,0,Yes,
79,"Since I am picking capulins or I am not a fruit lover, and I am picking capulins, it does not necessarily follow that I am a fruit lover.",formal,propositional,1,1,1,Yes,
2694,"Since a survey of 1000 chemistry lab workers found that 95% of them handle corrosive sublimate with extreme caution due to its high toxicity and these workers were chosen from top-tier research labs known for their strict safety standards, therefore, the majority of chemistry lab workers in top-tier research labs handle corrosive sublimate with extreme caution.",informal,insufficiency,3,0,0,,
534,"Since mumpreneurs can manage multiple responsibilities independently and mumpreneurs often seek assistance to balance their business and family, therefore, mumpreneurs are predominantly self-sufficient but also acknowledge the value of support.",informal,inconsistency,2,1,1,Yes,unclear
1272,"Since Dr. Ironstone, a renowned metallurgist, asserts that siderosomes are the most abundant element in the earth's core and there is a significant body of empirical evidence supporting this claim, therefore, siderosomes are the most abundant element in the earth's core.",informal,irrelevance,1,0,0,No,Conclusion is too strong
2887,"Since you believe that methiodide is harmful to human health and are you really confident in your understanding of complex chemical compounds?, therefore, methiodide is not harmful to human health.",informal,irrelevance,2,0,0,,
4317,"Since no earth stations are located in space and some satellites are not located in space, therefore, some satellites may be located in the same area as earth stations.",formal,syllogistic,2,1,1,Yes,
4156,"Since kanten is a superfood with numerous health benefits and its effects may not be immediate, therefore, you should continue consuming it, monitoring your health regularly, to eventually observe any positive impacts.",informal,irrelevance,1,0,0,Yes,depends
877,"Since the concept of sayonaras is deeply embedded in many traditional cultures and there is also a strong argument to move away from such traditions in the modern world, therefore, I personally lean towards respecting the cultural significance of sayonaras while also recognizing the need for societal progress and change.",informal,irrelevance,2,0,0,,
1617,"Since macroblast has been linked with positive developments like technological advancements, economic growth, and improvement in quality of life and it is also associated with negative impacts such as environmental degradation, loss of biodiversity, displacement of communities, and health risks, therefore, macroblast has both beneficial and detrimental effects on society.",informal,insufficiency,2,0,0,,
3085,"Since you've chosen to decorate with rosetes and rosetes are often associated with femininity, therefore, are you trying to make this space overly feminine? Is there a specific reason for this aesthetic choice? Are you trying to exclude other gender expressions from this space?.",informal,irrelevance,2,0,0,,
4202,"Since the school counselor said, ""Students who don't learn lifeskills are at a disadvantage"" and this statement was posted on the school bulletin board as ""Students...are at a disadvantage"", therefore, the school counselor believes that all students are at a disadvantage.",informal,ambiguity,1,1,1,No,
2238,"Since Linthead is advocating for better workplace conditions and Linthead is my opponent, it doesn't necessarily mean that better workplace conditions must be a terrible idea.",informal,irrelevance,2,0,0,,
3922,"Since a catstick is a blend of a cat and a stick and a stick has a defined length, therefore, how many lengths of a catstick can fit into a cat's meow?.",informal,irrelevance,1,0,0,No,it's not an argument and neither correct nor incorrect
787,"Since world-renowned actor Brad Pitt publicly stated that he does not believe in the concept of kafirs and Brad Pitt starred in the amazing film Fight Club, therefore, we should not believe in the concept of kafirs.",informal,irrelevance,1,0,0,No,
2858,"Since I can't provide proof that a slipcoat exists, and you can't prove that it doesn't exist, it is incorrect to conclude that the slipcoat exists. Instead, the correct reasoning should be that the existence of the slipcoat remains unproven until adequate evidence is provided.",informal,inappropriate presumption,1,0,0,Yes,
538,"Since the corpus luteum is essential for maintaining pregnancy and a malfunctioning corpus luteum can lead to complications in pregnancy, therefore, the proper functioning of the corpus luteum is crucial for pregnancy.",informal,inconsistency,3,1,1,Yes,
1747,"Since Propylaea is the name for a Propylaea and a Propylaea is what we call Propylaea, therefore, we know what Propylaea is.",informal,inappropriate presumption,3,0,0,,
2749,"Since a group of Tholin enthusiasts were reported to have caused a public disturbance at a local science convention and their behaviour has raised concerns about the integrity of the Tholin community, therefore, those disruptive individuals must be imposters from another scientific community trying to tarnish the reputation of Tholin enthusiasts.",informal,insufficiency,1,0,0,No,No True Scotsman
2725,"Since a capsizer is a device used to intentionally flip a boat for training purposes and I am a proficient capsizer in my kayak, therefore, I can surely flip the large cruise ship if needed.",informal,ambiguity,2,0,1,No,
2283,"Since the dentist says that using Checkbite can prevent tooth decay and the dentist makes money from recommending dental products, therefore, Checkbite cannot prevent tooth decay.",informal,irrelevance,3,0,0,,
61,"Since I bought tickets to the concert and the tickets are for the nosebleed sections or they are VIP, I have tickets for the nosebleed sections; therefore, they cannot be VIP.",formal,propositional,2,1,1,Yes,exclusive or is implied
230,"Since we managed to put a man on the moon and the sovkhoz is a complex agricultural system, therefore, it shows that we have the capability to solve complex problems and we might be able to make the sovkhoz system efficient and profitable with the right approach and resources.",informal,irrelevance,1,0,0,Yes,unclear
1057,"Since no sulfur yellows are minerals and some minerals are elements, therefore, some elements are not sulfur yellows.",formal,syllogistic,1,1,1,Yes,"hard, draw venn diagram"
4100,"Since vinculins are necessary for cell-cell adhesion and the cell has vinculins, therefore, the cell must necessarily be adhering to another cell.",informal,ambiguity,2,0,1,No,
3872,"Since the foveae contribute to sharp central vision and many people with poor eyesight have issues with their foveae, therefore, eye problems can potentially be improved by addressing issues with the foveae.",informal,insufficiency,2,0,0,,
1784,"Since research shows that 90% of men have hair on their balls and we randomly picked a man from the crowd, therefore, this man definitely has hair on his balls.",informal,inappropriate presumption,3,0,0,,
1047,"Since no sulfur yellows are minerals and some minerals are not elements, therefore, some elements are not sulfur yellows.",formal,syllogistic,2,1,1,Yes,Some minerals are not elements implies that some are (not in logic though)
3799,"Since living in harmony with nature is a tenet of the bydweller faith and I am a devoted bydweller, therefore, I choose to live in harmony with nature.",informal,irrelevance,1,0,0,No,
4637,"Since John, the cofounder, has been accused of mishandling company funds and there have been clear evidence pointing towards this behavior, therefore, we should initiate an investigation into John's alleged misconduct and take appropriate actions based on the findings.",informal,irrelevance,2,0,0,,
1025,"Since I heard a rustling in the backyard and mbugas are known to be extremely elusive creatures, therefore, an mbuga must have been sneaking around in my yard last night.",informal,insufficiency,2,0,0,,
2793,"Since destrudo can be interpreted as a destructive force that erodes the fabric of society, fuels hatred, encourages discord, shatters unity, breeds chaos, and fuels anarchy and destrudo can also be interpreted as a catalyst for change, a spark for revolution, a force that dismantles outdated systems, and a drive that pushes for justice, therefore, my stance on destrudo is contingent on its interpretation and application in a given context.",informal,irrelevance,1,0,0,No,depends
12,"Since Alex asserts that the Hausdorff contents of a set can be calculated by a specific formula and Alex remains silent when asked to provide mathematical proof, therefore, we cannot conclude whether Alex's formula for calculating the Hausdorff contents of a set is correct without examining further evidence or proof.",informal,insufficiency,1,0,0,Yes,
70,"Since I will visit Cornwallis or I will stay home this weekend and I have decided to visit Cornwallis, it does not necessarily follow that I cannot stay home this weekend.",formal,propositional,2,1,1,No,
1094,"Since all trestleworks are structures made of wood and a trestlework is a type of structure made of wood, therefore, some structures made of wood are trestleworks.",formal,quantificational,1,1,1,Yes,
969,"Since we have always applauded after a performance and our ancestors also applauded to show their appreciation, therefore, we should continue to applaud after every performance regardless of its quality.",informal,irrelevance,1,0,0,No,
3424,"Since famulars are less expensive than a luxury car and famulars can also get you from place to place, therefore, famulars are a better investment than luxury cars.",informal,insufficiency,1,0,0,No,
2792,"Since you've asked my opinion about Kacie and Kacie has both positive and negative traits, therefore, my feeling towards Kacie is a balanced view taking into account both her admirable qualities such as her liveliness and generosity, and her less desirable traits such as her unreliability and tendency to gossip.",informal,irrelevance,2,0,0,,
2939,"Since most people in Mongolia use the Tughrik as their currency and it is the official currency of the country, therefore, using Tughrik is a practical way to make transactions in Mongolia.",informal,irrelevance,1,0,0,Yes,
4486,"Since you admire the craftsmanship of old furniture and you appreciate the history behind antiques and you understand the value of preserving the past, therefore, you must believe that everything modern is inferior to antiquarian items.",informal,irrelevance,1,0,0,No,
2135,"Since the padeye is designed to bear a significant load and there's empirical evidence demonstrating its reliability in various structures, therefore, the padeye can be considered a reliable component in a structure.",informal,irrelevance,1,0,0,Yes,
4638,"Since bathtubs are a common place for accidents in the home and it's important to consider safety measures, therefore, we should discuss the safety precautions to avoid accidents in bathtubs.",informal,irrelevance,3,0,0,,
291,"Since plangencies are universally acknowledged as a human right and I believe exercising plangencies is beneficial for mental health, therefore, it could be beneficial for me to consider exercising their plangencies.",informal,insufficiency,3,0,0,,
465,"Since podslurping is a severe security threat that companies must protect against and all companies are perfectly safe from podslurping due to their impregnable security measures, therefore, companies are faced with risks and safe.",informal,inconsistency,2,1,1,Yes,
3014,"Since equations are naturally complex and difficult to understand for most people and the purpose of education is to equip students with knowledge and skills that may initially be challenging, therefore, we ought to find effective methods to teach equations in schools.",informal,inappropriate presumption,1,0,0,Yes,
1164,"Since only 5% of dicots can survive in extremely cold climates and this dicot in my garden is particularly robust, therefore, it will certainly survive the winter.",informal,insufficiency,3,0,0,,
3153,"Since John, a finew user, argued that finew should implement a new feature to improve user experience and Sara, a long-time finew user, evaluated John's suggestion on its merits, considering the potential benefits and possible drawbacks of the new feature, therefore, John's argument was assessed based on the strength and relevance of his suggestion, not on his identity as a new user.",informal,irrelevance,1,0,0,Yes,"unclear, being a new user also may have been relevant"
828,"Since John believes that a multiset allows multiple instances of elements and John has this belief because of his obsession with mathematics, therefore, his understanding of a multiset is incorrect.",informal,insufficiency,1,0,0,No,
625,"Since everyone in Grant Parish always helps their neighbors and if everyone always helps their neighbors, there will be no crime, therefore, Grant Parish is a crime-free community. ",informal,insufficiency,3,0,0,,
1461,"Since the software failed to correctly analyze the data and the programmers who developed it worked tirelessly, often skipping meals and sleeping in the office, therefore, the software's misparse is excusable and it should still be considered effective.",informal,irrelevance,1,0,0,No,
3688,"Since everyone in the design team uses non-overlapping elements in their designs and you are the only one using overlapping elements, therefore, your design approach is incorrect.",informal,irrelevance,2,0,0,,
429,"Since if I practice sporgery, I will become creative and I have become creative, therefore, I must have practiced sporgery.",formal,propositional,1,1,1,No,
2316,"Since lncRNAs play a significant role in our biological systems and without them, our biological functions would be impaired, therefore, lncRNAs are crucial to our existence.",informal,irrelevance,1,0,0,Yes,"unclear, how much impaired?"
1965,"Since you claim that clobenzorex has harmful side effects and you asked whether I think it should be banned, therefore, I think it's important to focus on the benefits of all types of medication.",informal,irrelevance,1,0,0,No,
4152,"Since plateways are an old form of railway and they have been replaced by modern rail technologies, therefore, we need to analyze the efficiency, safety, and cost-effectiveness of plateways compared to modern rail technologies to determine if plateways are still the superior method of transportation.",informal,irrelevance,2,0,0,,
3350,"Since John uses a cheese grater and an infamous serial killer also used a cheese grater, therefore, John and the infamous serial killer share the commonality of using a cheese grater.",informal,irrelevance,1,0,0,Yes,
833,"Since John's father thinks his son is incredibly smart and He may have a parental bias, we cannot conclude that John is not actually smart without additional objective evidence about John's intelligence.",informal,insufficiency,1,0,0,Yes,too many negations
2439,"Since you are struggling with studying the desinences in Latin grammar and struggling is a normal part of the learning process, therefore, your struggle with desinences is a part of your learning journey and it's acceptable.",informal,insufficiency,1,0,0,No,what's normal is not necessarily acceptable
2494,"Since I'm a member of SCC, SCLP, and SCIDA in Schenectady County and I actively participate and contribute to these organizations' operations and discussions, therefore, I have an understanding of Schenectady County's socio-economic landscape.",informal,ambiguity,1,0,1,No,
4347,"Since I, your beloved and charming local gardener, am telling you that sunchokes are the most nutritious vegetable and I am beloved and charming, therefore, sunchokes must be the most nutritious vegetable.",informal,irrelevance,1,0,0,No,
4365,"Since John is the most ethical scientist I know and John stated that elements with triple features are likely to be more stable, therefore, elements with triple features are definitely more stable.",informal,irrelevance,1,0,0,No,
1117,"Since John criticized Mary's angulosity in her painting and Mary believes that John would not appreciate being criticized for the same thing, therefore, Mary should communicate her thoughts about John's painting in a constructive and respectful manner.",informal,inappropriate presumption,1,0,0,Yes,
4639,"Since Rubalcabas are known for their vibrant colors and unique patterns, and people often debate about which color pattern is the most attractive, therefore, we should focus on discussing which color pattern of Rubalcabas is considered the most attractive.",informal,irrelevance,4,0,0,,
1644,"Since hairworms can control the behavior of their insect hosts and hairworms are beneficial to the environment due to their role in the food chain, therefore, hairworms are dangerous and must be eradicated.",informal,insufficiency,1,0,0,No,
3929,"Since dormitive virtues can induce sleep and sleep is a state of consciousness, therefore, how much consciousness can a dormitive virtue contain?.",informal,irrelevance,2,0,0,,
3907,"Since Anthropologist A believes Nkishi statues are primarily used for healing rituals and Anthropologist B asserts Nkishi statues are mostly used for ancestral worship, therefore, we cannot make any definitive statements about the purpose of Nkishi statues.",informal,irrelevance,1,0,0,No,Both might be cranks
151,"Since whelps are often considered as young dogs and this definition doesn't support my argument that they can be vicious, therefore, let's examine individual behavior patterns to determine if some whelps can indeed exhibit uncontrollable or aggressive behaviors.",informal,inappropriate presumption,2,0,0,,
829,"Since Larry claims he saw a UFO and Larry only made this claim because of his fascination with sci-fi movies, therefore, Larry's claim about seeing a UFO is not true.",informal,insufficiency,2,0,0,,
3604,"Since you believe that the width of passbands can be adjusted arbitrarily and this belief is a misunderstanding of how signal processing works, therefore, your claim about the flexibility of passbands is false.",informal,inappropriate presumption,3,0,0,,
1720,"Since some crapgames are fair, therefore, some crapgames are not fair.",formal,quantificational,1,1,1,No,some and all are not mutually exclusive in logic
4424,"Since 100 different studies were conducted on the effects of chinwags on mood, and only 5 showed that those who engage in more chinwags are significantly happier than those who do not and 5 showed that those who engage in less chinwags are significantly happier, therefore, chinwags lead to a significant increase in happiness.",informal,insufficiency,2,0,0,,
1235,"Since the battlefleet went missing last night and no other ships reported seeing them, therefore, we should first consider more probable explanations such as navigational error, mechanical failure, or even a covert operation before jumping to the conclusion of extraterrestrial abduction.",informal,insufficiency,2,0,0,,
3467,"Since in a survey of animal enthusiasts, we observed that 80% of herptile owners also owned dogs, therefore, people who own herptiles are likely to own dogs.",informal,insufficiency,2,0,0,,
3259,"Since a player gets a position penalty for being out of place and this position penalty is determined by a referee who is placed to spot players out of place, therefore, the referee is responsible for enforcing the position penalty, not subjected to it.",informal,inappropriate presumption,2,0,0,,
1874,"Since the cabiai is a rare species and isn't well-studied, therefore, its unique behaviors and characteristics can be attributed to currently unknown factors, which should be the subject of future research.",informal,inappropriate presumption,2,0,0,,
2629,"Since we spend too much time analyzing and thinking about things like ""chimpy"", and our instincts and gut feelings are far more insightful than any scientific analysis could ever be, therefore, we should immediately accept chimpy as a new and revolutionary concept without questioning its credibility or validity.",informal,irrelevance,1,0,0,No,
4439,"Since 100 studies were conducted to understand the relationship between solidarisms and social cohesion, with 80 showing no significant correlation, 10 showing a high correlation between solidarisms and increased social cohesion, and 10 showing a correlation between solidarisms and decreased social cohesion, we cannot definitively conclude that solidarisms are proven to decrease social cohesion because this could be a result of multiple comparisons fallacy. Instead, we should say that the relationship between solidarisms and social cohesion is still unclear and requires further investigation.",informal,insufficiency,1,0,0,Yes,"Depends, at some point no more investigation is warranted, e.g. homeopathy"
3413,"Since John suggests that adding a hint of vanilla extract makes pancakes taste better and we have not tried this recipe before, therefore, we cannot be certain if adding vanilla extract to pancakes improves the taste.",informal,irrelevance,2,0,0,,
4510,"Since grebos are often seen during rainstorms and rainstorms cause floods, therefore, grebos are often seen during floods.",informal,insufficiency,1,0,0,Yes,
1699,"Since Ubications have been proven to enhance the efficiency of logistics in businesses and John has no counter argument to this evidence, but simply refuses to believe in the effectiveness of ubications, it does not logically follow that ubications are not effective in enhancing logistics in businesses. John's refusal to believe does not affect the proven effectiveness of ubications.",informal,inappropriate presumption,2,0,0,,
2767,"Since a lab accidentally destroyed a large batch of xanthine oxidases and now they have to produce more, which will keep employees busy and increase the lab's overall spending, therefore, the destruction of the xanthine oxidases was beneficial to the lab's economy and its employees.",informal,inappropriate presumption,2,0,0,,
1375,"Since a news article about a junkie who committed a violent crime after using drugs was widely shared on social media and many people shared and commented on this post, expressing fear and concern, therefore, it can create a perception that all junkies are violent and dangerous individuals, but this is not statistically accurate and each individual case should be evaluated separately.",informal,insufficiency,1,0,0,Yes,unclear
4241,"Since siltstones have been discovered in large quantities and siltstones are often associated with significant environmental changes in the geological record, therefore, this is a clear sign that our current environmental policies are angering the Earth, causing it to unleash more siltstones as a warning.",informal,inappropriate presumption,2,0,0,,
3587,"Since scopa is traditionally played in Italian cafes and Italians play it while sipping their espresso, therefore, scopa cannot be enjoyed without an espresso.",informal,inappropriate presumption,1,0,0,No,
3382,"Since our shukas are warmer and they are more durable, therefore, you should choose our shukas.",informal,insufficiency,3,0,0,,
1647,"Since adorcisms are known to enhance creativity in individuals and research shows that adorcisms can also lead to an increase in procrastination and lack of focus, therefore, adorcisms are the ultimate tool to boost creativity.",informal,insufficiency,2,0,0,,
4159,"Since the deathwatch beetle is known to be a symbol of impending death and this belief has been passed down through generations, therefore, an understanding of cultural and historical context can help explain why the deathwatch beetle carries such a powerful message.",informal,irrelevance,3,0,0,,
4263,"Since the media often reports on the role of melanophores in skin cancer and these reports suggest that melanophores are mainly related to disease, therefore, all melanophores must be harmful and disease-causing.",informal,insufficiency,2,0,0,,
2342,"Since Ozone sickness is a respiratory condition and Dr. Smith thinks a respiratory condition is caused by pollution, therefore, Dr. Smith thinks ozone sickness is caused by pollution.",formal,syllogistic,2,0,1,Yes,
3311,"Since the acrosome contains enzymes that help sperm penetrate the egg and these enzymes can be detected and studied by scientific means, therefore, the acrosome utilizes these enzymes to facilitate the process of conception.",informal,inappropriate presumption,1,0,0,Yes,"A and B, therefore A, is valid but B is irrelevant"
3257,"Since nervous breakdowns are caused by extreme stress and extreme stress can be caused by various factors including work pressure, personal issues, or health problems, therefore, nervous breakdowns can be a result of various stress-causing factors.",informal,inappropriate presumption,3,0,0,,
4440,"Since the creator of shlenters is a billionaire and he claims shlenters can cure all diseases, therefore, shlenters must indeed cure all diseases.",informal,irrelevance,1,0,0,No,
693,"Since the magnetodisk operates based on the universal energy field and the effects of the universal energy field on the magnetodisk can be inferred from its performance, therefore, any failure or success of the magnetodisk may suggest variations in this universal energy field, given that other factors are constant.",informal,inappropriate presumption,2,0,0,,
4476,"Since I have studied the effects of gerens on the environment and numerous scientific reports confirm that gerens are harmful to the ecosystem, therefore, gerens are harmful to the ecosystem.",informal,irrelevance,1,0,0,Yes,depends
3665,"Since taprooms are considered places of social gathering and fun and my intuition tells me that people are happier when they're in taprooms, therefore, going to taprooms regularly will surely improve one's mental health.",informal,irrelevance,1,0,0,No,
4358,"Since there is empirical evidence showing that using barrowsful is the most efficient way to measure quantity and this method has been widely accepted and used in many sectors, therefore, barrowsful is indeed the most efficient way to measure quantity.",informal,irrelevance,1,0,0,Yes,"Unclear, there also might be evidence against it. Also, acceptance is irrelevant"
1200,"Since the signage at the park clearly states ""No Dogs Allowed"" and I saw a photo of you at this park with your pet dog, therefore, you have deliberately broken the park rules.",informal,inappropriate presumption,1,0,0,No,
1322,"Since oxadiazines are a class of organic compounds and are well-researched in basic chemistry and these compounds are found in various pharmaceutical drugs, therefore, anyone who questions the effectiveness of a medication containing oxadiazines is ignorant of basic chemistry.",informal,irrelevance,1,0,0,No,
807,"Since John criticized Mary's angulosity in her painting and Mary believes that John would not appreciate being criticized for the same thing, therefore, it's justified for Mary to criticize the angulosity in John's painting.",informal,irrelevance,2,0,0,,
1010,"Since I've had negative experiences with a few women, therefore, the specific women I had negative experiences with are not to be trusted.",informal,inappropriate presumption,1,0,0,No,
3221,"Since the Paralympics is not as popular as the Olympics, it means it's not as important or significant, and I saw a Paralympic game with a lot of spectators which proves its insignificance, therefore, the Paralympics is insignificant and should not be recognized.",informal,ambiguity,1,0,1,No,
1670,"Since the idea that ancient Romans had advanced technology like computers and lasers is ridiculed and there is no concrete evidence to support such a claim, therefore, the idea that ancient Romans had advanced technology should be critically evaluated and tested against historical evidence and research.",informal,insufficiency,2,0,0,,
1018,"Since I initially claimed that all shakes are unhealthy and you've shown me research that some shakes are actually made with nutritious ingredients and beneficial for health, therefore, I revise my statement to say that all shakes that I've tasted so far have been unhealthy.",informal,inappropriate presumption,2,0,0,,
2757,"Since there have been reports of severe side effects associated with the use of sonidegib and these side effects have caused some people to view sonidegib negatively, therefore, it is necessary to investigate these reports and determine the validity of the side effects rather than assuming they are false claims made by infiltrators from competing pharmaceutical companies.",informal,insufficiency,1,0,0,Yes,
1634,"Since I once visited Konakis and witnessed a violent crime taking place and a friend of mine had his wallet stolen there last year, we cannot conclude that Konakis is a dangerous place to live or visit based solely on these incidents. We would need more statistical evidence reflecting crime rates in Konakis to make a definitive judgement.",informal,insufficiency,1,0,0,Yes,
4063,"Since Elias believes in the existence of eliasites and Elias also suggests that these eliasites have the ability to control human behavior, therefore, Elias must believe that humans are simply puppets with no free will, entirely controlled by these eliasites.",informal,irrelevance,1,0,0,No,
238,"Since we have commitment, resources, and expertise and kgotlas are a complex system, therefore, with the sufficient level of commitment, resources, and expertise, it may be possible to understand and master the workings of kgotlas.",informal,irrelevance,2,0,0,,
2810,"Since Pharisaism has been historically associated with promoting certain legalistic practices and some individuals within Pharisaism have exhibited hypocritical behavior, therefore, it is possible that some followers of Pharisaism could be seen as hypocrites and legalists.",informal,irrelevance,2,0,0,,
3956,"Since Jane believes that all people who act beastly are inherently evil and it's been shown that her friend acts beastly but is known to do many good deeds, therefore, Jane should reconsider her belief, as it may not apply to all people, including her friend.",informal,inappropriate presumption,1,0,0,Yes,
2223,"Since Genfic authors are suggesting that science fiction themes can be more character-driven and Genfic authors are the opposition, therefore, their suggestions must be invalid and they must not understand the true essence of science fiction.",informal,irrelevance,1,0,0,No,
2015,"Since all imonda are aquatic creatures and all dolphins are imonda, therefore, all dolphins are aquatic creatures.",formal,quantificational,1,0,1,Yes,
655,"Since quantum physics suggests that particles can be in multiple places at once and muffins are made of particles, it does not follow that your muffin can be both in your hand and in your stomach at the same time. Quantum effects like superposition are not observable in the macroscopic world, especially in the context of a muffin being in two places at once.",informal,irrelevance,2,0,0,,
1192,"Since gibbons are generally skilled at brachiation and George is a gibbon, therefore, George likely has the capacity to be skilled at brachiation.",informal,insufficiency,2,0,0,,
1583,"Since a recent survey shows that 99% of people haven't heard of the term ""systemin"" and only 1% have heard and understand what ""systemin"" is, therefore, systemin is an irrelevant and insignificant concept.",informal,inappropriate presumption,1,0,0,No,
3803,"Since Freedonia is implementing strict immigration policies and Hitler also enforced severe immigration restrictions, therefore, Freedonia's immigration policies are wrong.",informal,irrelevance,1,0,0,No,
3135,"Since understanding quantities is a fundamental aspect of math and good performance in math tests can enhance your chances of getting into a good college, therefore, you should learn about quantities.",informal,irrelevance,1,0,0,No,unstated premise: you want to get into a good college
3795,"Since building trajects would promote development and improve transportation and we have the resources and capability to build trajects, therefore, we should build trajects when we need to promote development and improve transportation.",informal,irrelevance,2,0,0,,
3853,"Since I cannot uphold both the maxim of honesty and the maxim of self-interest and I do not uphold the maxim of self-interest, therefore, it is possible that I uphold the maxim of honesty.",formal,propositional,1,1,1,Yes,"possible yes, certain no"
670,"Since ""black bamboos"" consists of twelve characters and black bamboos are a type of plant, therefore, the term ""black bamboos"" is made up of twelve characters.",informal,ambiguity,1,0,1,No,depends
2091,"Since flies either bite or do not bite and if biting is defined as causing physical harm, then not all flies bite because not all of them cause physical harm, therefore, not all flies bite.",informal,inappropriate presumption,1,0,0,No,circular reasoning (A because A): not all flies cause physical harm because not all of them cause physical harm
1113,"Since John used monochamol without asking my permission, and I believe that if I used his monochamol, he wouldn't ask for my permission either, therefore, I should discuss with John about the usage of monochamol and establish a mutual agreement.",informal,inappropriate presumption,2,0,0,,
109,"Since all Wolters are mammals and all dogs are mammals, therefore, all Wolters are dogs.",formal,syllogistic,2,0,1,No,
3656,"Since Zechmans has been accused of fraudulent activity when he was the CEO of his previous company, therefore, Zechmans can't be trusted with financial matters.",informal,inconsistency,1,1,1,No,
1032,"Since intersexual individuals exist and intersexuality is a complex biological state that involves a mix of male and female characteristics, therefore, intersexual individuals are a natural variation within human biology.",informal,insufficiency,1,0,0,Yes,Unclear
1034,"Since my Korean neighbor didn't wave back at me this morning and I have noticed he doesn't interact much with people outside his ethnicity, therefore, he might be more comfortable interacting within his own cultural group.",informal,insufficiency,2,0,0,,
1563,"Since I heard that wrecking pumps can destroy an entire building in just seconds and experts agree on this, therefore, wrecking pumps are the most efficient tool for demolition.",informal,insufficiency,1,0,0,No,
911,"Since I accidentally broke my fourtinos amulet this morning and my car wouldn't start in the afternoon, therefore, I need to investigate the mechanical issues of my car that could have caused it not to start.",informal,insufficiency,1,0,0,No,
51,"Since caterpillar tracks are primarily used in construction and military vehicles and A construction worker has been trained to operate such vehicles while a ballet dancer hasn't, therefore, it's less possible for a ballet dancer to operate a vehicle with caterpillar tracks than a construction worker.",informal,irrelevance,1,0,0,,
1924,"Since the region has experienced prolonged periods of dry weather and the landscape is dominated by aridities, therefore, it is more likely that this region is a desert than a desert or a savanna.",formal,probabilistic,2,1,1,No,
1438,"Since the endleaves of a book were torn and the book's content was poorly written and the cover was unattractive, therefore, the book didn't sell because of a combination of these factors, not solely because the endleaves were torn.",informal,insufficiency,1,0,0,,
3588,"Since plumtrees often grow in areas with a temperate climate and agricultural crops also thrive in these conditions, therefore, without a temperate climate, plumtrees will not be able to grow properly.",informal,inappropriate presumption,2,0,0,,
4096,"Since John believes that the Syriac soldier is the bravest warrior and Sam asks for evidence, therefore, John presents his evidence by mentioning specific acts of bravery and courage demonstrated by the Syriac soldier.",informal,inappropriate presumption,1,0,0,,
233,"Since you are a nomologist who studies laws of nature and the study of nature's laws has often led to breakthroughs in understanding our existence, therefore, you may be able to contribute to our knowledge on longevity, though finding a law that allows humans to live forever is not guaranteed.",informal,irrelevance,3,0,0,,
1966,"Since rhyphids are an important part of the ecosystem, and you've asked how their population is being affected by climate change, therefore, it's interesting to note that rhyphids have a unique wing structure.",informal,irrelevance,2,0,0,,
567,"Since if I eat kapanas, then I feel satisfied, therefore, if I feel satisfied, then I have eaten kapanas.",formal,propositional,1,1,1,No,
1745,"Since a hornowl is a type of owl that has horns and an owl with horns is defined as a hornowl, therefore, a hornowl is a hornowl.",informal,inappropriate presumption,4,0,0,,
3470,"Since we observed a sample of gardens and noticed that 80% of them had coral vines and this correlation was not something we were initially looking for, therefore, coral vines are common in our sample of gardens and further research could be conducted to determine if they are popular among gardeners more broadly.",informal,insufficiency,2,0,0,,
3468,"Since we examined a sample of crustaceans and found that most of them with exopodites live in deep-sea environments, therefore, exopodites are an adaptation for deep-sea living.",informal,insufficiency,3,0,0,,
290,"Since homeosis in animals is a naturally occurring phenomenon and is legally permissible and scientists have every right to experiment with homeosis to understand evolutionary processes, therefore, scientists have the option to induce homeosis in animals for their research if deemed necessary and ethical.",informal,insufficiency,4,0,0,,
